Publication Date,Summary,Sentiment Polarity,Sentiment Confidence,Keywords,stock_date,stock_price,percentage_change
2024-03-07,"Tales of Kenzera: ZAU now has a free PC demo  Ahead of the game's release on April 23rd, EA has released a demo version of Surgent Studios' Tales
of Kenzera: ZAU on Steam . AMD Ryzen 2600
  Memory: 16 GB RAM
  Graphics: NVIDIA GTX 1070 8GB / AMD RX Vega-56 8 GB
  DirectX: Version 12
  Network: Broadband Internet connection
  Storage: 30 GB available space
  Sound Card: DirectX Compatible
  Additional Notes: These specs target 1920×1080 60 FPS gameplay with “Standard” graphics settings
  Mark Campbell
  A Northern Irish father, husband, and techie that works to turn tea and coffee into articles when he isn't painting his extensive minis collection or using things to make other things.
   Version 12
  Network: Broadband Internet connection
  Storage: 30 GB available space
  Sound Card: DirectX Compatible
  Additional Notes: These specs target 1920×1080 60 FPS gameplay with “Lowest” graphics settings
  RECOMMENDED:
  OS: Windows 10
  Processor: Intel i7 7700 / ZAU is a 2.5d Metroidvania game where player take control of a shaman who reclaim the spirit of his father.
   MINIMUM:
  OS: Windows 10
  Processor: Intel i7 7700 / AMD Ryzen 2600
  Memory: 8 GB RAM
  Graphics: NVIDIA GTX 1060 6GB / AMD RX 580 8GB
  DirectX:",neutral,0.96,"AMD, RAM, NVIDIA, Windows 10, AMD Ryzen, Metroidvania, father, NVIDIA GTX, shaman, GB, God, Zau, EA, Storage, MINIMUM, powers, game, Mark Campbell, Sound Card, Kenzera, 2600, dance, Internet, Northern Irish, Compatible, moon, tea, 2.5d, Broadband, ZAU, articles, Campbell, Bantu, Wield, Surgent Studios, coffee, Intel, Baba, PC, Steam, Vega, DirectX, lands, Twitter",2024-03-08,207.39,0.0
2024-03-07,"Benzinga - by Anusuya Lahiri, Benzinga Editor.   Mizuho analyst Vijay Rakesh reiterated a Buy rating on Nvidia Corp (NASDAQ:NVDA), Advanced
Micro Devices, Inc (NASDAQ:AMD), Broadcom Inc (NASDAQ:AVGO), and Arm Holdings Plc (NASDAQ:ARM).
   He noted strength in Nvidia's AI ramp through 2024 and 2025 with GH200, B100, B200 with his 2024 at ~$89 billion in Data Center revenues with potentially more upside and potentially, he estimated, reaching ~$280 billion in AI Data Center revenue by 2027 with strength also in ramps at peers Broadcom and AMD.
   Rakesh noted the potential for Broadcom to grow its AI revenues from an estimated $8 billion in 2024 to potentially as high as $20 billion in 2027 as it ramps up custom silicon solutions for customers. With AMD, Rakesh noted it as the second largest player in a continually expanding AI GPU market while still lagging behind Nvidia, as he said it could see 2024 AI revenue upside to ~$4-5billion (vs current estimates of $3.5 billion) but potentially ramping to ~$18 billion by 2027.
  ",neutral,0.43,"AMD, Anusuya, VanEck, Nvidia, EPS, V3, Semiconductor ETF, Nvidia Corp, cons., arms race, Intel Corp, Mizuho, GH200, AI, CPU, GPU, BOTZ, Benzinga.com, ARM, catalysts, Broadcom, Benzinga Editor, Arm, silicon, The analyst, Benzinga, Data Center, Rakesh, Vijay Rakesh, AI GPU, Wikimedia Commons, Neoverse N3, NASDAQ, revenue, CAGR, Vijay, AVGO, OEMs, market share, foundry, Intel, mobile, Mizuho Analyst, Anusuya Lahiri, Broadcom Inc, analyst, Artificial Intelligence, Photo",2024-03-08,207.39,0.0
2024-03-08,"Customize Consent Preferences  We use cookies to help you navigate efficiently and perform certain functions.
 All after management refocused on becoming far more efficient
  Helping, analysts at Raymond James just upgraded the stock to a Market Perform rating, after recent earnings saw CVNA inching closer to profitability. Since mid-2023, the stock ran from about $100 per share to a recent high of $1,161. Viking Therapeutics (VKTX)
  That 1,098% winner was Viking Therapeutics (NASDAQ: VKTX ), whose VK2735 trials have shown a good deal of promise with the treatment of obesity. When I first found the stock, the company was working on a treatment for Parkinson's disease psychosis.",neutral,0.96,"InvestorPlace.com, NYSE, Seeking Alpha, Acadia Pharmaceuticals, GPU, CNBC, Ian Cooper, Thomas Yeung, CVNA, QTD, Novo Nordisk, VK2735, Stock Winners, Granted, stock, social media, Viking, AI-related, securities, Functional, U.S, cloud computing, gross profit, AI, EBITDA, ACAD, CFA, weight loss, Analytical, Investorplace, PFE, visitors, Silicon Valley, Raymond James, Pfizer, Dig, cookies, psychosis, SMCI, Parkinson, plateau, VKTX, Always Active, NVO, Caught, pullbacks, company, artificial intelligence, Viking Therapeutics, obesity, Carvana, AMD, Wells Fargo, NASDAQ, Helping, treatment",2024-03-09,207.39,0.0
2024-03-08,"Sylvia Jablonski, CEO & CIO at Defiance ETFs, joins BNN Bloomberg's 'Hot Picks' segment to share her top 3 choices in the quantum computing sector: FormFactor, IBM and AMD.
 ",neutral,0.83,"Quantum, IBM, CIO, Sylvia Jablonski, & CIO, segment, Women, BNN, Bloomberg, choices, CEO, Hot Picks, quantum, Sylvia, FormFactor, Picks, computing, Int'l, Defiance, Add, BNN Bloomberg, AMD, Jablonski",2024-03-09,207.39,0.0
2024-03-09,"The question of prebuilt versus custom PC is one that's faced by nearly every PC owner at some point, be they enthusiast gamers or casual users.
 Custom PCs: pros
  You have full control over the parts that you pick
  If you choose your parts right, you can build a solid PC for less
  PC building can be a rewarding experience
  All components are new and replaceable, meaning future-proofing and upgradeability
  Custom PCs: cons
  You'll have to spend a long time researching
  Putting your PC together and troubleshooting can be stressful
  No warranty on the build, only on individual parts
  The operating system adds an extra cost
  It may take longer than buying a prebuilt
  What's the difference between prebuilts and custom PCs?
  Jacob Roach / Digital Trends
  Before getting into details, let's back out and define some terms. Some manufacturers use refurbished components
  Not cost-effective
  Occasional proprietary components make upgrading harder
  You can usually get a far better custom PC
  A lot of the components may be unknown
  Could experience issues if the PSU or the cooler isn't strong enough for the build
  With that out of the way, we'll go over the pros and cons of custom PCs.
   In a prebuilt that was made without much concern for the less “exciting” components, such as the cooler, the PSU, or the case (beyond its aesthetics), you may find that the PC underperforms at times. Recommended Videos
  Prebuilts vs. custom PCs: pros and cons
  Jacob Roach / Digital Trends
  We'll get into deep breakdowns of all the important areas of consideration, but to start off, here's a quick rundown of the pros and cons between prebuilt and custom PCs:
  Related
  PS5 vs. PC: Which is the better buy for gaming in 2024?
  ",neutral,1,"GPUs, Performance, computers, motherboard, Prebuilt, SSD, Windows, iceberg, overclock, Balkouras Nicos, Nvidia, prebuilt, PC, NVMe, Delivered, Chuck Fortner, calculator, components, Contents, Radeon, build, Amazon, Lenovo, pie, Budget
  Quality, Significantly, Videos, I/O, AMD, PC gaming, Jacob Roach, tricky, ATX, Picking, such, desktops, air, Micro Center, Alienware, Intel Core, caliber, Jacob, Intel NUC, custom, stuttering, RAM, eBay, gaming, DIY, CPU, cartel, Budget, operating system, Occasional, RTX, more, Digital Trends, CyberPowerPC, PS5, power supplies, Chuck, parts, better, compact, Intel, power supply, fps, GPU, aesthetics, PSU, Unsplash, Z790",2024-03-10,198.39,-2.2757499630560094
2024-03-09,"Although Samsung has confirmed that it is unveiling the Galaxy A55 and Galaxy A35 in India on March 11, it doesn't stop some leaks from appearing.
 Regarding Samsung's other mid-range model, the Galaxy A35 costs €379 (~$415) with 6 GB RAM and 128 GB on-board storage. How much will the Samsung Galaxy A55 and Galaxy A35 cost?
  German retailer Otto might not have received the memo about the launch, as it has listed the Galaxy A55 and Galaxy A35 on its official online store full of the devices' details. What's new in the Samsung Galaxy A55 and Galaxy A35?
   The base Galaxy A55 costs €479 (~$524) and comes loaded with 8 GB RAM and 128 GB expandable storage while the 256 GB option is priced at €529 (~$579).
  ",neutral,0.76,"aluminum, boot, GB, battery, snapper, One UI, model, macro, refresh rate, SoC, watt, department, A55, GPU, smartphones, front, micro SD, Galaxy Tab, IP67, Galaxy A54, main, OLED, AMD, chipset, Android, 1080p, Hz, RAM, A34, Exynos, India, Galaxy, selfie, Otto, rate, refresh, Samsung Galaxy, Galaxy A35, specifications, range, USA, Gorilla Glass, mid-range Galaxy, Samsung, S9, A35, Galaxy A55, Leaked Ahead, Launch, MP",2024-03-10,198.39,-2.2757499630560094
2024-03-10,"Texas women are making their mark when it comes to being the richest self-made women in America!
  According to Forbes, Abuzeid is “one of only a handful of Black female founders to run a company valued at more than $1 billion.”
  Julia Cheek,
  39, tied for 92 on the list with an estimated $260 million net worth as the founder of Everly Health, an at-home testing company based in Austin. Iman Abuzeid,
  38, tied for 77 on the list with an estimated net worth of $350 million as the co-founder and CEO of Incredible Health, a company started to alleviate ever-growing nursing shortages across U.S. hospitals. April Anthony,
  56, of Dallas, tied for 34 on the list with an estimated net worth of $740 million after founding Encompass Home Health & Hospice in 1998, selling it for $750 million to HealthSouth, and becoming CEO of VitalCaring, another home health and hospice company in 2022.
   Kathleen Hildreth,
  61, of Aubrey, placed 44th on the list with an estimated net worth of $590 million as the cofounder of Texas aviation maintenance company M1 Support Services, whose client is the U.S. government.
  ",neutral,1,"Birmingham Perot, Judy Faulkner, Thai Lee, Scott, hospice, Courtesy, Bumble, Gustavson, Elizabeth Johnson, Madison, women, April Anthony, Rihanna, Johnson, Fort Worth, list, Aubrey, Pritzker, pandemic, CEO, Gigi, Lynsi Snyder, Denise York, Diane Hendricks, online dating, Texas, Incredible Health, Milane Frantz, Aviator Nation, Blair Parry-Okeden, White, Dannine Avara, COVID-19, Madison Troyer, Pamela Mars, U.S, Valerie Mars, COO, Marian Ilitch, Iman Abuzeid, space exploration, Badoo, SpaceX, founder, Taylor Swift, HealthSouth, jewelry, company, Trudy, Dallas, Victoria Mars, Christy Walton, Annette Lerner, Edythe Broad, America, Belinda Johnson, MacKenzie Scott, Julia Koch, Everly Health, Alice Walton, VitalCaring, Katharine Rayner, Taiwan, Ronda Stryker, Abuzeid, Elisabeth DeLuca, Victoria, Hollywood, Karen Pritzker, Jane Lauder, family, Austin, Paige Mycoskie, Kathleen Hildreth, Mars, Jacqueline Mars, Abigail Johnson, Robyn Jones, Jonesboro, Airbnb, gold, California, Benson, Su, lifestyle brand, Iman, Julia Cheek, Bumble Inc, Helen Johnson-Leipold, Janice McNair, entrepreneurship, Oprah Winfrey, Magazine, Kendra Scott, worth, net worth, Gwynne Shotwell, semiconductor, Johnelle Hunt, Forbes, Birmingham, Cathy White, Goosehead Insurance, Judy Love, Walton, Jean, Miriam Adelson, Margaretta Taylor, Belinda, nursing, Lisa Su, A-list, Gail Miller, Dagmar Dolby, Lynda Resnick",2024-03-11,202.76,1.1170955515659189
2024-03-10,"Don't buy the new MSI Claw handheld, at least not yet. Contents
  A new challenger
  The software difference
  Don't be an early adopter
  Buying any new product before third-party reviewers can poke and prod it is problematic, but the MSI Claw is an even riskier venture. With a device like the MSI Claw, reviewers know how important software is, how big of a difference fan noise can make in the experience of playing, and to check if the microSD card actually works as intended. Recommended Videos
  A new challenger
  Jacob Roach / Digital Trends
  We've seen the Core Ultra 7 155H at play in a proper laptop, and it gives performance that can rival chips like the AMD Ryzen Z1 Extreme that you'll find inside the Asus ROG Ally. Get your weekly teardown of the tech behind PC gaming
  ReSpec
  Subscribe
  Check your inbox!
  Privacy Policy
  The highest chip MSI will offer in the Claw is the Core Ultra 7 155H, but a cheaper version with the Core Ultra 5 135H is also available.",neutral,0.76,"Arc, handheld, early adopter, Ultra 5, The Core, PC, Steam, Jacob, Lenovo, Videos, Ally, concrete, Digital Trends, Buying, noise, ReSpec, gaming, Windows, issues, chips, Ryzen Z1, Jacob Roach, form factor, battery, software, Contents, Deck, performance, PC gaming, microSD, Asus, device, MSI Claw, reviews, AMD, Claw, MSI, Core Ultra, Ultra 7, Privacy Policy, Intel",2024-03-11,202.76,1.1170955515659189
2024-03-11,"Best VPN services 2024: Read our full



Hotspot Shield review













Private Internet Access – Best VPN for split-tunneling























Pros





Independently verified no-logs policy



Unlimited simultaneous device connections



Incredible number of servers



Great extra features such as multi-hop and split tunneling







Cons





App panel awkwardly located on the lower-right corner of screen by default



Speeds are just okay

































Best Prices Today:







$11.95 at Private Internet Access











Why we like Private Internet Access



Private Internet Access (PIA) has been around for awhile and has demonstrated that it can continue to innovate and improve with each passing year. Read our full



AirVPN review













CyberGhost VPN – Best VPN for server locations























Pros





Easy-to-use interface



Independently verified no-log policy



Seriously impressive server spread







Cons





Lacks some common features such as multi-hop and double VPN



Server speeds are hit-or-miss, especially in Asia



































Why we like CyberGhost



If you want variety and options in the server locations from your VPN, then there are none better than CyberGhost VPN. Excellent speeds



Easy-to-use interface



Unblocks all streaming services



Great security and privacy practices







Cons





More expensive than many competitors



Light on some features for a top VPN



































Why we like ExpressVPN



It’s difficult to select the best overall VPN. Good speeds



Higher level of anonymity possible than with most VPN services



Windows desktop is easy to use







Cons





Not guaranteed to work with Netflix



Lacks the extra services that some VPNs offer



No password protection for your account

































Best Prices Today:







£5 at Amagicom AB











Why we like Mullvad



As Hotspot Shield is to speeds, so Mullvad is to privacy and anonymity.",neutral,1,"Netflix Wins, computer hardware, Gibraltar, metadata, DNS, RAM, Pros





Excellent, curate, hacktivists, Cons, PersonalVPN, VPNs, Amagicom AB, Lacks, Great, Interface, App, Stratolaunch, Shield, Nord, Windscribe Pro, server, FastestVPN, WireGuard, VPN, VPN.But, NVIDIA, IVPN



IVPN, surfing, Dynamic Multi-Hop, Linux, Higher, Regardless, WindscribeChoosing, Best, Facebook, Google, Bitcoin, Netflix, FAQ, thrice, AVG Secure, iPhone, TOR, Cons





Indicators, PUBG, IP address, Nord VPN, Ultime, AirVPN, TorGuard VPN, G Les, USA, Netherlands, PCWorld, Additionally, Malwarebytes Privacy, Singapore, NetflixBuilt, Sweden, service, Meshnet, Updated, speeds, TrunkSpace Hosting, Surfshark, SurfsharkSurfshark, Domain, Android, Pros





Good, Editor, Les, IVPN, hiccups, Wi-Fi, Cons





Team, AMD, Quels, Twitter, security, Torrents, fairing, NetflixLacks, Perfect Privacy, d'Atari, Cowcotland, no-frills, NordVPN, Speedify, UK, Pro reviewPersonalVPN, Workout Daredevil, Japan, Tiered, malware, OVPN, SurfsharkFor, Intel, optimization, Thankfully, services, PIA, Surfshark VPN, Pros





Easy, Edward Snowden, desktop application, Rating, IVPNIVPN, AsiaWhy, PureVPN, Privacy, password manager, BitTorrent Now, browsing.6.How, BitTorrent, Specs, Hotspot ShieldWhile, audit, Speeds, Gmail, Instagram, U.S, Incredible, Pros, Default WireGuard, Streamers Combine, VPN?Yes, Asia, Europe, PayPal, TorGuard, VPN.Updated, SurfEasy, United States, France, kill switch, AppleTV, AVG SecureIf, viruses?No, Private, parental controls, Allows, AVG SecureThose, Hide.me, WiTopia, Nexus, locks, Mullvad, Get Surfshark, servers, holistic, Windows, VeePN, mail, CyberGhost, Netflix



Built, MullvadMullvad, Based, Hotspot Shield, P2P, privacy, Monero",2024-03-12,202.76,0.0
2024-03-11,"PURCHASE, N. Y., March 11, 2024 (GLOBE NEWSWIRE) -- Cognition Therapeutics, Inc. (“Cognition,” the “Company” or “We”) (Nasdaq: CGTX), a clinical
stage company developing product candidates designed to treat neurodegenerative disorders, today announced that it has commenced an underwritten public offering (the “offering”) of shares of its common stock. All statements contained in this press release, other than statements of historical facts or statements that relate to present facts or current conditions, including statements regarding Cognition's expectations on the timing, size and completion of the proposed offering and Cognition's intention to grant the underwriters a 30-day option to purchase additional shares. Factors that may cause actual results to differ materially from current expectations include, but are not limited to: risks and uncertainties associated with market and other conditions and the satisfaction of customary closing conditions related to the proposed public offering and the risks and uncertainties described more fully in the “Risk Factors” section of our annual and quarterly reports filed with the SEC and are available at www.sec.gov. When available, copies of the preliminary prospectus supplement and the accompanying prospectus relating to the proposed offering may also be obtained by contacting Titan Partners Group LLC, a division of American Capital Partners, LLC, 4 World Trade Center, 29 th Floor, New York, NY 10007, by phone at (929) 833-1246 or by email at prospectus@titanpartnersgrp.com
  This press release shall not constitute an offer to sell or the solicitation of an offer to buy, nor shall there be any sale of, these securities in any state or jurisdiction in which such offer, solicitation or sale would be unlawful prior to the registration or qualification under the securities laws of any such state or jurisdiction.
   These statements involve known and unknown risks, uncertainties and other important factors that may cause our actual results, performance, or achievements to be materially different from any future results, performance, or achievements expressed or implied by the forward-looking statements.",neutral,0.58,"Cognition, Form, biopharmaceutical, Alzheimer, neurodegenerative disorders, tailor, offering, PURCHASE, Lewy bodies, Titan, division, common stock, GLOBE NEWSWIRE, N. Y, Accept, “Risk Factors, Nasdaq, NY, securities, degenerative diseases, results, privacy, press, CT1812, CGTX, Floor, DLB, pipeline, prospectus, retina, Lewy, Common, statements, SEC, small molecule, uncertainties, manager, LLC, Forward-Looking Statements, clinical, dementia, other, New York, AMD, risks",2024-03-12,202.76,0.0
