Publication Date,Summary,Sentiment Polarity,Sentiment Confidence,Keywords,stock_date,stock_price,percentage_change
2024-03-07,"By  Data Skrive  Published Mar. 7, 2024 at 7:53 PM CET  |  Updated 59 minutes ago  View how Data Skrive uses AI here
 The No. 2 seed Boston University Terriers (15-16, 10-8 Patriot League) square off against the No. 7 seed Navy Midshipmen (13-17, 8-10 Patriot League) as 3.5-point favorites in the Patriot League Tournament Thursday at Case Gym, starting at 7:00 PM ET on ESPN+. Place your bets on any college basketball matchup at BetMGM, and sign up with our link for a first-time deposit bonus!
  Boston University vs. Navy Odds & Info
  Date: Thursday, March 7, 2024
  Time: 7:00 PM ET
  TV: ESPN+
  Live Stream:
  Watch this game on ESPN+
  Where: Boston, Massachusetts
  Venue: Case Gym
  Watch live college basketball games from all over the country, plus ESPN originals and more NCAA hoops content on ESPN+!
   Over/Under Stats
  Games Over 131.5
  % of Games Over 131.5
  Average PPG
  Combined Average PPG
  Average Opponent PPG
  Combined Average Opponent PPG
  Average Total
  Boston University
         Navy
         Get tickets for any college basketball game this season at Ticketmaster
  Additional Boston University vs Navy Insights & Trends
  Boston University has a 5-5 record against the spread while going 7-3 overall over its past 10 contests.
   Bet on this or any college basketball matchup at BetMGM
  Boston University vs. Navy Betting Splits
  ATS Record
  ATS Record Against 3.5+ Point Spread
  Over/Under Record (O-U-P)
  Boston University
     Navy
     Boston University vs. Navy Home/Away Splits
  Boston University
   FanDuel
  Click Here
  Bet $5 Get $150 in Bonus Bets if Your Team Wins
  BetWay
  Click Here
  First bet reset up to $250 back in bonus bets if your first bet loses
  Hard Rock Bet
  Click Here
  No Regret 1st Bet Up To $1,000
  bet365
  Click Here
  First Bet Safety Net up to $2000 or Bet $5 and Get $150 in Bonus Bets
  Boston University vs Navy Betting Records & Stats
  The Terriers are 13-16-0 against the spread this season.
  ",neutral,1,"FanDuel, Time, PPG, moneyline, college basketball, Bet, Boston University, Bonus Bets, Team Wins, Updated, NCAA Tournament, View, probability, Spread, AI, Average Total, gambling, Push Record, game, more, BetMGM, DraftKings, No Regret, Navy Home, Betting Trends, bet365, Point Spread, NCAA, Amazon, Boston, Massachusetts, Midshipmen, Patriot League, Navy, Click Here, Data Skrive, basketball, Watch, Sportsbook
  Promo, ATS Record, Record ATS, Ticketmaster, Sportsbook, college, Case Gym, Boston, Massachusetts, ESPN, Click, ET, University, CET",2024-03-08,175.35,0.0
2024-03-07,"By  Data Skrive  Published Mar. 7, 2024 at 11:56 AM GMT+1  |  Updated 58 minutes ago  View how Data Skrive uses AI here
 The No. 6 seed Southern Miss Golden Eagles (16-15, 9-9 Sun Belt) are favored by 2.5 points in the Sun Belt Tournament when they play the No. 11 seed Texas State Bobcats (15-17, 7-11 Sun Belt) Thursday at Pensacola Bay Center, beginning at 6:00 PM ET on ESPN+. FanDuel
  Click Here
  Bet $5 Get $150 in Bonus Bets if Your Team Wins
  BetWay
  Click Here
  First bet reset up to $250 back in bonus bets if your first bet loses
  Hard Rock Bet
  Click Here
  No Regret 1st Bet Up To $1,000
  bet365
  Click Here
  First Bet Safety Net up to $2000 or Bet $5 and Get $150 in Bonus Bets
  Click Here for the Best Sportsbook Promo Codes in Mississippi & Sports Betting FAQ
  Southern Miss vs Texas State Betting Records & Stats
  So far this season, the Golden Eagles have compiled a 12-16-0 record against the spread.
   Place your bets on any college basketball matchup at BetMGM, and sign up with our link for a first-time deposit bonus!
  Southern Miss vs. Texas State Odds & Info
  Date: Thursday, March 7, 2024
  Time: 6:00 PM ET
  TV: ESPN+
  Live Stream:
  Watch this game on ESPN+
  Where: Pensacola, Florida
  Venue: Pensacola Bay Center
  Watch live college basketball games from all over the country, plus ESPN originals and more NCAA hoops content on ESPN+!
   Over 136.5
  % of Games Over 136.5
  Average PPG
  Combined Average PPG
  Average Opponent PPG
  Combined Average Opponent PPG
  Average Total
  Southern Miss
         Texas State
         Get tickets for any college basketball game this season at Ticketmaster
  Additional Southern Miss vs Texas State Insights & Trends
  Southern Miss is 4-6 against the spread and 4-6 overall in its last 10 contests.
   Betting Splits
  ATS Record
  ATS Record Against 2.5+ Point Spread
  Over/Under Record (O-U-P)
  Southern Miss
     Texas State
     Southern Miss vs. Texas State Home/Away Splits
  Southern Miss
  ",neutral,1,"FanDuel, Time, State, moneyline, Pensacola, Florida, college basketball, PPG, Bet, Texas, Bonus Bets, Pensacola, Team Wins, GMT, Southern Miss, NCAA Tournament, Updated, View, probability, Golden Eagles, Spread, AI, Average Total, gambling, Push Record, game, Sun Belt, more, sportsbooks, BetMGM, DraftKings, No Regret, Betting Trends, ESPN+, AM, bet365, NCAA, Miss, Texas State, Amazon, Southern, Mississippi, Games Over, Click Here, Data Skrive, basketball, Watch, Sportsbook
  Promo, ATS Record, Record ATS, Ticketmaster, Sportsbook, GMT+1, Florida, ESPN, Click, ET, Pensacola Bay",2024-03-08,175.35,0.0
2024-03-08,"Fast Facts  Apple has revoked its earlier decision to terminate Epic Games' European developer account. ""
  Epic plans to use the account — which was initially approved only a month ago — to launch both Fortnite and an Epic Games store on iOS in Europe, something that on Thursday became enforceable under Europe's Digital Markets Act (DMA
  Related: Apple CEO Tim Cook sends clear message about AI to Wall Street
  Under the DMA, the European Commission designated six tech giants as ""gatekeepers."" Just two days after Apple AAPL revoked Epic Games' European developer account, the tech giant has restored Epic's access.
   Onward!""
  Epic said earlier in the week that Apple's initial decision to revoke its developer account was at least in part informed by a social media post from Sweeney that was critical of Apple's App Store policies and practices.
   -founder and CEO Tim Sweeney said in a post on X that, after a ""swift inquiry"" from the European Commission, Apple informed both Epic and the commission that it would ""relent and restore our access.",positive,0.63,"Noncompliance, Fortnite, Games, digital, Sweden, Signal, gatekeepers, Microsoft, Epic Games, puzzle, European, The move, social media, Tim Sweeney, Commission, registered trademark, Alphabet, CEO, clear message, Europe, Apple AAPL, Tim Cook, AI, European Commission, Epic, ByteDance, TheStreet, Amazon, account, developer, App Store, DMA, TheStreet, Inc, The Arena, AM, Meta, Sweeney, Wall Street, LLC THESTREET, THESTREET, 732-804-1223, Apple, iOS",2024-03-09,175.35,0.0
2024-03-08,"Discover ways to save on popular Nintendo games, consoles and gaming accessories as retailers gear up for Mario Day 2024.
  Meanwhile, if you need additional controllers to play your favorite multi-player games, we've got you covered with the latest info on the
 'Super Mario Bros. Wonder' (Nintendo Switch): $48 (save $12)   'Mario Golf: Super Rush' (Nintendo Switch): $58 (save $2)  Some golf simulation games, like EA Sports' ""PGA Tour,"" are rather complex and require a strong knowledge of golf and PGA players. ""Super Mario Bros. Wonder"" is without a doubt the best Nintendo Switch game released in the past few years. 'Mario Kart 8 Deluxe' (Nintendo Switch): $40 (save $20)  Out of all the exciting games on the Nintendo Switch, ""Mario Kart 8 Deluxe"" is one of best high-action, multi-player racing game you can get.",positive,0.98,"Mario Golf, more, Mario, video game, racing game, PGA Tour, action-adventure, EA Sports, RPG, Joy-Con, Pokemon, galaxy, Shigeru Miyamoto, Nintendo Switch, mechanics, hybrids, Walmart, photographer, simulation, UbiSoft, godfather, Handbook, limitless, Best Buy, single-player mode, Yoshi, Gooigi, Rabbids Sparks, Mario Kart, Mario Day, Final Fantasy-type, single-player, Last Resort, Super Mario, Rush, Luigi, Select, SNES, Amazon, vacuum, game, pal, hotel, games, Zelda, friends, PGA, Deluxe, golf, Sparks, Nintendo, Donkey Kong, Rabbids, Mario Party, Super, multiplayer, digital download, JasonRich.com, Entrepreneur Books, adventure, Switch, epic, Nintendo gamer, Start, Mario, Peach, plumber, side-scrolling",2024-03-09,175.35,0.0
2024-03-09,"Aegon Ltd. (NYSE:AEG) on Friday, March 08, fall -1.19% below its previous day's close as a downside momentum from buyers pushed the stock's value to $5.80.
  If we refocus on Aegon Ltd. (NYSE:AEG), historical trading data shows that trading volumes averaged 3.26 million over the past 10 days and 1.90 million over the past 3 months. The data shows that as of Feb 15, 2024 short interest in Aegon Ltd. (AEG) stood at 0.09% of shares outstanding, with shares short rising to 1.25 million registered in Jan 12, 2024. Further, Aegon Ltd. (AEG) has a beta value of 1.18, and an average true range (ATR) of 0.10.
   Turning to the stock's technical picture we see that short term indicators suggest on average that AEG is a 50% Buy.",neutral,0.98,"ATR, Invest, company, Imagine, Aegon, value, dividend yield, fiscal year, Amazon, NYSE, Revisions, Wall Street, Ltd., 5-Year, trading, Tesla, YTD, market cap, AEG, AI, Buffett, Forward Dividend, RSI, Dividend, year, Aegon Ltd, ratio, Strength Index, Apple, volatility, 52-week, price, EPS, The Relative, stock",2024-03-10,171.96,-1.3481727955940532
2024-03-09,"Banzai International Inc (NASDAQ:BNZI) on Friday, March 08, fall -0.54% below its previous day's close as a downside momentum from buyers pushed the stock's value to $0.74.
  If we refocus on Banzai International Inc (NASDAQ:BNZI), historical trading data shows that trading volumes averaged 0.51 million over the past 10 days and 1.44 million over the past 3 months. The data shows that as of Feb 15, 2024 short interest in Banzai International Inc (BNZI) stood at 0.75% of shares outstanding, with shares short rising to 62710.0 registered in Jan 12, 2024. Further, Banzai International Inc (BNZI) has a beta value of -0.58, and an average true range (ATR) of 0.17.
   Turning to the stock's technical picture we see that short term indicators suggest on average that BNZI is a 100% Sell.",neutral,0.99,"BNZI, YTD, AI, shares, RSI, The Relative, International, price, Revisions, Invest, Amazon, trading, past, 52-week, ATR, Imagine, Banzai, NASDAQ, Tesla, volatility, stock, market cap, short, Buffett, Strength Index, Apple",2024-03-10,171.96,-1.3481727955940532
2024-03-10,"GALVESTON, Texas - The suspect believed to have set a home on fire in Galveston, killing a woman, was arrested on Friday.
 ""
 Renita Hawthorne was in her elevated one-story home with her daughters and boyfriend when the fire broke out.
  Courtney Allen Thompson, 20, was arrested on March 8 in connection with the Feb. 29 fire in the 700 block of 39th Street. PREVIOUS STORY: Galveston house fire: Galveston police say there Thompson may face additional charges.",negative,0.75,"Houston, Hawthorne, Vizio, Thompson, aggravated assault, Renita Hawthorne, home, Texas, Galveston, Roku, fire, Renita, FOX, GALVESTON, Texas, murder, Apple TV, Sharonda Hawthorne, Google Android, block, homicide, Trauma Center, Amazon, capital murder, arson",2024-03-11,175.39,1.0893371757924994
2024-03-10,"Olympique de Marseille welcomes FC Nantes this Sunday for the 25th day of Ligue 1 (8:45 p.m.). Where to watch the game ?
  This match between Olympique de Marseille and FC Nantes counting for the 25th day of Ligue 1 will be broadcast this Sunday on Prime Video, from 8:45 p.m. It will also be possible to watch it on the Amazon group's streaming platform, via the Ligue 1 Pass.
  Leave a Comment In this context, the reception of FC Nantes this Sunday looks like a godsend for a team with renewed confidence. The followers of Olympique de Marseille have been drinking whey for two weeks. The Canaries, at a standstill, seem to be on the ropes of this Marseille team, at least on paper.",neutral,0.8,"Clermont, Shakhtar Donetsk, Sunday, Villarreal, Canaries, compositions, Marseille, Veretout, team, Ndiaye, Coco, FC Nantes, FC, Augusto, Gasset, Nantes streaming, streaming, Aubameyang, Balerdi, Simon, Gennaro Gattuso, Olympique, Nantes, Mbemba, Pallois, Castelletto, Jean-Louis, Ligue 1, Zeze, Amazon, Merlin, match, Ligue, Montpellier",2024-03-11,175.39,1.0893371757924994
2024-03-11,"NASHVILLE, Tenn. (March 11, 2024) – Breakout singer-songwriter Josh Ross hits Country radio airwaves today with “Single Again.” “Matching Tattoos” (Josh Ross, Joe Fox, Brad Rempel, Mason Thornley)
 Produced by Matt Geroux “She Don’t Smoke” (Josh Ross, Joe Fox, Brad Rempel, Mason Thornley)
 6. “Complicated” (Josh Ross, Heath Warren, Mason Thornley, Matt Geroux)
 5. “Single Again” (Josh Ross, Joe Fox, Brad Rempel)
 2.",neutral,0.51,"Matt Geroux, Luke Bryan, Johnny Clawson, Joe Fox, Country, talent, Spotify, piano ballad, Canadian, Thornley, Ross, Amazon Music, Complicated, Tour, country, MusicRow, Breakout, NASHVILLE, Bailey Zimmerman, country music, EP, singer-songwriter, Heath Warren, Josh, star, Tenn, Pandora, Mason Thornley, Opry NextStage, Johnny Gates, edge, Brad Rempel, Boy Tour, Brad Remple, Sam Martinez, Lauren McLamb, Josh Ross, Benjamin Stoll, Stagecoach, Cameron Bedell, Jared Griffin, Grand, Trouble",2024-03-12,175.39,0.0
2024-03-11,"Amazon is now offering the top of the line Sony INZONE H9 360 Spatial Audio Wireless Headset down at $248 shipped . You'll also find a Discord-certified, flexible flip-up boom microphone with mute function joined by 32 hours of wireless battery life, support for PS5 and PC as well as “personalized 360 spatial sound.”
  A more affordable PlayStation-focused over-ear headset would be the new Pulse Elite Wireless Headset at . The Sony INZONE H9 wireless headset features an over-ear design with dual-sensor noise cancellation tech that “keeps out surrounding noise while Ambient Sound Mode keeps you aware of important sounds in your environment.” Dual Sensor Noise Canceling Technology keeps out surrounding noise while Ambient Sound Mode keeps you aware of important sounds in your environment
  Soft headband cushion and synthetic leather ear pads for wearing comfort
  Discord certified, clear communications via a flexible flip-up boom microphone with mute function.
   Sony INZONE H9 360 Spatial Audio Wireless Headset features:
  Personalized 360 Spatial Sound for Gaming provides precise rival detection.
  ",neutral,0.88,"Discord, headset, PlayStation, headphone, Wireless, boom microphone, leather, Sony, noise cancellation, PlayStation Link, PS5, Described, PC, Sony INZONE, price, USB, Game, Amazon, PULSE, cable, noise cancelling, Soft, audio, Elite, battery, noise, deal, PlayStation 5, wireless",2024-03-12,175.39,0.0
