Publication Date,Summary,Sentiment Polarity,Sentiment Confidence,Keywords,stock_date,stock_price,percentage_change
2024-03-07,"Written by Iain Boyd, Director, Center for National Security Initiatives, and Professor of Aerospace Engineering Sciences, University of Colorado Boulder
Nations around the world are rapidly developing high-energy laser weapons for military missions on land and sea, and in the air and space. The high-energy laser systems that are finding military applications are based on solid-state lasers that use special crystals to convert the input electrical energy into photons. Unlike traditional weapons such as guns and cannons that have a finite amount of ammunition, a high-energy laser can keep firing as long as it has electrical power.
  A U.S. Army Stryker armored fighting vehicle configured with a high-energy laser weapon, the extensions at the top rear of the vehicle. A key aspect of high-power solid-state lasers is that the photons are created in the infrared portion of the electromagnetic spectrum and so cannot be seen by the human eye.
 ",negative,0.83,"Shigeru23/Wikimedia, mortar, Air Force, Iain Boyd, fighter aircraft, air, drones, Colorado, ultraviolet, USS Preble, 747, science fiction, weapons, infrared, Boeing, laser, wavelength, human eye, U.S, Russia, biological tissue, Laser, Lasers, lasers, power, electrical energy, conspiracy theories, megawatt, ballistic missile, Higher, energy, welding, Stryker, high, spectrum, Middle East, destroyer, Navy, Boeing 747, electromagnetic spectrum, Aerospace Engineering, weapon, photon, Army, electricity, gain medium, ocean, Boulder, kilowatt, CC, photons",2024-03-08,198.49,0.0
2024-03-07,"CNBC's Investing in Space newsletter offers a view into the business of space exploration and privatization, delivered straight to your inbox. Taking a quick look at the world's largest commercial aircraft fleets, and cross-checking that against which satellites those airlines rely on, you find that Intelsat and Viasat largely dominate in deals with the top 25 or so global airlines, which together have over 7,000 planes. Satellite companies providing internet service to commercial airlines is one of the most mish-mashed sub-sectors of the space industry that I've come across over the years. My desk neighbor and CNBC's inimitable airline reporter Leslie Josephs, who kindly chipped in to this newsletter with her beat's side of the story, recently paid $19.99 for Wi-Fi on a cross-country Spirit flight – service she noted was fast enough for an hour-long video call.

 And U.S. airlines have been heavily investing in satellite-based Wi-Fi: Delta last year started offering it for free to frequent fliers, JetBlue's long offered it for free, and Spirit Airlines finished its Wi-Fi rollout in 2022.",neutral,0.38,"satellite communications, Spirit Airlines, Delta, Embraer, SpaceX, Wi-Fi, video call, Gogo, Boeing, United, Leslie Josephs, deals, aircraft, U.S, Boeing 737, FAA, 737, airlines, Starlink, IFC, mosh pit, Europe, CNBC, Hawaiian Airlines, Icelandair, Satellite, United Airlines, Qatar Airways, space exploration, service, Viasat, airline, pie, Spirit, privatization, commercial aviation, Viasat. Starlink, JetBlue, planes, North America, Michael Sheetz, satellite, Intelsat",2024-03-08,198.49,0.0
2024-03-08,"A decade ago on March 8, a Malaysia Airlines flight vanished without a trace, becoming one of aviation's biggest mysteries.
 Markus Mainka // Shutterstock
  United Airlines
  Major crashes in the last 50 years: 11
  Worst crash: 111 people died in the crash of 1989
  United Airlines is regarded as one of the safest American airlines due to an impressive and lengthy track record of safety. Phillip B. Espinasse // Shutterstock
  Delta Airlines
  Major crashes in the last 50 years: 7
  Worst crash: 50 people died in 2006
  Delta Airlines is a large American airline that has a strong safety record. Carlos Yudica // Shutterstock
  American Airlines
  Major crashes in the last 50 years: 14
  Worst crash: 271 people died in the crash of 1979
  American Airlines is the world's largest airline in terms of fleet size and revenue. Ryan Fletcher // Shutterstock
  International: Singapore Airlines
  Major crashes in the last 50 years: 2
  Worst crash: 81 people died in the crash of 2000
  Singapore Airlines has a long history of safety and has won numerous honors for its safety standards and performance, including being voted the ""World's Best Airline"" and the ""Best Airline in Asia"" by Skytrax.",negative,0.92,"Handan, Shutterstock
  International, years, airline safety, VanderWolf Images, Ocean Infinity, law school, malaysia, Carlos Yudica, Malaysia, Indian Ocean, United States, AirAsia Group, Airbus, Flight MH370, pandemic, Airlines, telecommunications, ""Best Airline, sweat, Airbus A320, Malaysia Airlines, Jetblue, Asia, FlightGlobal, jet, Allegiant, airlines, commercial aviation, Bradley Caslin, Air Baltic, airline, Ryan Fletcher, marine, safety, ratings, Earth, drifting, Infinity, Kuala Lumpur, KUALA LUMPUR, aircraft engine, lockdown, tense, United Airlines, Alaska Airlines, Singapore Airlines, 737 MAX, Li Eryou, air safety, untouched, Li Yanlin, U.S, 777, brain, China, Shutterstock, Li, MH370, Frontier, Shutterstock
  Safest, Grace, Air Arabia, pun, Jetblue
  Indigo, Markus Mainka, Etihad Airways, Frozen, Skytrax, mh370, island, Hawaiian Airlines, regulatory compliance, American Airlines, Rolls-Royce, robotics, flower, FlyDubai, plane, American airlines, Chinese, answers, Beijing, Jetstar Group, Boeing 777, strong safety, Stacker Media, Canva, Voice 370, low-cost airlines, Toni, Boeing, law firm, Anwar Ibrahim, communications system, Delta Airlines, Way.com, North America, A320 NEO, pain, avionics, air, radar, Flight 370, ghost, easyjet, AirAsia, silent, UAE, Robinson Crusoe, Madagascar",2024-03-09,198.49,0.0
2024-03-08,"SARASOTA, Fla. (WWSB) - In honor of Women's History Month, United Airlines flights 1215 from EWR to SRQ and 2612 from SRQ to EWR had an all-women crew led by EWR B-737 Captain Gabrielle Harding. See their full story on YouTube. When the two were paired for flights 1215 and 2612 to go along with the all women flight attendant crew, the United team at EWR thought it was appropriate to recognize these ladies.
   “It was wonderful having an all-women crew, and Julia did a great job, especially it being her first time flying for United,” said Harding.",neutral,0.97,"Harding, customer service, Mika, Mika Tupy, Frontier Airlines, B-737, women, crew, Gabrielle Harding, BEACON, Julia Ewalefo, YouTube, United Airlines, EWR, President, BS, United's History, flight attendant, Julia, flights, woman, BRG, HBCU, First Officer, SARASOTA, United, story, Gabrielle, Hampton, Hampton University, flight, airline, Fla, Black, EWR B-737, Boeing",2024-03-09,198.49,0.0
2024-03-09,"You are Here  Justice Department investigating Alaska Airlines door blowout  Justice Department investigating Alaska Airlines door blowout
 The Justice Department is investigating the and whether anything that led up to, or contributed to it, could affect the deferred prosecution agreement aircraft manufacturing giant Boeing entered into with the Justice Department in 2021, a person familiar with the investigation confirmed to CBS News.
   We don't put airplanes in the air that we don't have 100% confidence in.”
  Last month, the Boeing executive in charge of the company's 737 Max production program was
  Robert Legare
  Robert Legare is a CBS News multiplatform reporter and producer covering the Justice Department, federal courts and investigations. The Justice Department is reviewing whether Boeing abided by those terms, as the Alaska Airlines incident falls within that review — it occurred in the time period subject to the deferred prosecution agreement.
   As part of , which was the resolution of criminal charges that stemmed from 737 Max crashes, Boeing agreed it would not violate any laws or terms of the agreement.
   On the night of Jan. 5, Alaska Airlines Flight 1282 was carrying 174 passengers and six crew members bound for Ontario, California, when a door plug of blew out just minutes after the Boeing 737 Max 9 had taken off from Portland, Oregon.
  ",neutral,0.76,"criminal, DOJ, Max, Robert Legare, News, month, Jennifer Homendy, Capitol Hill, Portland, Oregon, air, Ontario, California, CBS News, Portland, criminal charge, Airlines, California, NTSB, Boeing, Norah O'Donnell, Justice, Alaska Airlines, FBI, 737 Max, aircraft, Department, Ontario, Dave Calhoun, Justice Department, agreement, Flight 1282, Air Current, Oregon, Bloomberg, CEO",2024-03-10,192.49,-0.8856392564749491
2024-03-09,"SEATTLE — Boeing has acknowledged in a letter to Congress that it cannot find records for work done on a door panel that blew out on an Alaska Airlines flight over Oregon two months ago.
  The safety board's chair, Jennifer Homendy, testified that for two months Boeing repeatedly refused to identify employees who work on door panels on Boeing 737s and failed to provide documentation about a repair job that included removing and reinstalling the door panel.
   Article content
  The company said its “working hypothesis” was that the records about the panel's removal and reinstallation on the 737 MAX final assembly line in Renton, Washington, were never created, even though Boeing's systems required it.
   The rivet repairs were done by contractors working for Boeing supplier Spirit AeroSystems, but the NTSB still does not know who removed and replaced the door panel, Homendy said Wednesday.
   Until the hearing, it said, “Boeing was not aware of any complaints or concerns about a lack of collaboration.”
  RECOMMENDED VIDEO
  Boeing has been under increasing scrutiny since the Jan. 5 incident in which a panel that plugged a space left for an extra emergency door blew off an Alaska Airlines Max 9.",neutral,1,"safety, Cantwell, Max 9, Renton, Max, 48 hours, Senate, Democrat, The panel, Maria Cantwell, Ziad Ojakli, Homendy, 737s, NTSB, Boeing, rivet, Midday, door, Comments, lobbyist, Spirit AeroSystems, Alaska Airlines, 737 MAX, Renton, Washington, Article, Washington, Alaska, Spirit, email, Jennifer Homendy, AeroSystems, Congress, content, Toronto, social network, MAX, SEATTLE, quality assurance, Postmedia, Midday Sun, quality management, panel, Oregon, RECOMMENDED VIDEO",2024-03-10,192.49,-0.8856392564749491
2024-03-10,"(Bloomberg) -- Read more: Ukraine Sees Risk of Russia Breaking Through Defenses by Summer
  Vatican spokesman Matteo Bruni made a separate comment after the interview, saying the pope had “picked up” on the imagery of the white flag after it was used by the interviewer. Ukrainian top diplomat pushed back on Pope Francis ' call for his country to show “the courage of the white flag” and enter negotiations
with Russia, a remark that fueled outrage among Ukrainians and condemnation from some foreign allies.
   “My Sunday morning take: One must not capitulate in face of evil, one must fight it and defeat it, so that the evil raises the white flag and capitulates,” Latvian President Edgars Rinkevics said on X.
  Ukraine's leadership has so far ruled out talks with Russian President Vladimir Putin, even as Kyiv's military is strained by troop shortages and an ammunition deficit amid delays in receiving military aid from allies.
   It isn't the first time the Vatican has been forced to clarify comments from the 87-year-old pontiff on Russia and Ukraine.
  ",neutral,0.54,"Latvian, South America, Bing, X, Reforms Start, Bloomberg Businessweek, Bloomberg, flag, Pay Off, World, Barbenheimer Gives, Russian, Inflation, Boeing, pope, Vatican, Oscars, Global South, S&P 500, Ukrainian, Great Firewall, Bloomberg L.P., Bloomberg L.P, Good Friday, Russian President, RSI, Matteo Bruni, diplomat, Airbus, Chinese, Wealthy Expats, Ukrainians, Patience, Rate Cuts, Nigeria, Beijing, Swiss, Pope Francis, Telegram, Microsoft, Bing Helps, Defenses, President, Twitter, Apple Sank, Edgars Rinkevics, Francis, torrent, Gains, Bloomberg
  These, social networks, cross, Russians, Apple, Zelenskiy, pontiff, Tinubu, Moscow, foreign, Turkey, Kuleba, Dmytro Kuleba, Russia, Radoslaw Sikorski, Big-Tech Weaklings, Kyiv, Volodymyr Zelenskiy, Pope, Vladimir Putin, Ukraine",2024-03-11,184.24,-2.1223470661672934
2024-03-10,"United Airlines left its mark on San Francisco when one of its flights took off Thursday … and almost immediately lost one of its tires, which came crashing down on parked cars at SFO Airport.
  Video captured the moment the Boeing 777 took off bound for LAX with 249 passengers aboard — before the jumbo jet's landing gear retracted into the fuselage, the massive tire flew loose right above an SFO employee parking lot.
   Once it was on the ground, United moved all the passengers to a new aircraft for the next leg of the flight … which is heading to Osaka Thursday evening.
  While there were no casualties from this incident, it's still concerning from the standpoint of it being yet another issue with a Boeing aircraft. As for the damaged plane, United says it landed safely at LAX, mainly because it's a 777, which has 6 tires on each of its 2 main landing gear struts. You'll recall, the door blew off a Boeing 737 , operated by Alaska Airlines, 2 months ago — leading to a temporary grounding of all 737 Max 9s.
  ",negative,0.94,"ground, passengers, manager, SFO, Alaska Airlines, Boeing, 737, Thursday, tire, Osaka, Airlines, tires, Thankfully, LAX, 777, landing gear, Once, jumbo jet, Boeing 737, aircraft, United Airlines, TMZ Live, fuselage, Max, San Francisco, 737 Max, UNITED AIRLINES, airline, landing, United, Boeing Jet, Boeing 777",2024-03-11,184.24,-2.1223470661672934
2024-03-11,"The airline introduced its cabins' new look for 2025 last month.   The airline, which introduced its sleek new cabin last month, is weathering a storm of less-than-flattering comments on TikTok, which compare the design to “lawn chairs” and have customers asking if they need to bring their own seat cushions.
   Courtesy of Southwest Airlines
 They've been called the “Ozempic” of airline seats and compared to being as comfortable as “wooden benches,” but Southwest Airlines is defending its new slimmer seat design set to roll out next year.
   When the design was first introduced, Southwest's Senior Vice President and Chief Customer Officer Tony Roach said the new cabin “significantly enhances our inflight Customer experience and will complement the amazing service that our Crews provide.”
  The decision to upgrade its cabin comes as Southwest continues mulling the idea of adding overnight red-eye flights, which CEO Bob Jordan has called a “logical evolution” for the airline.
   Another user saw the seats and immediately commented: “My back just flared up.”
  Following the criticism, a representative for Southwest told ABC News the “original images were 2D renderings to show the cosmetic look of the seats and were not scalable for illustrating seat comfort.”
  “But rest assured, we have our customers' back-even when they give us flak,” the airline added.
  ",neutral,0.98,"Southwest, 737 MAX, Vice President, Bob Jordan, CEO, 737-800, Courtesy, Leisure, original, cabin, seats, Customer, Boeing 737-800, MAX-8, design, user, “Ozempic, Tony Roach, flak, seat, Southwest Airlines, ABC News, USB, airline, granite, overhead bins, evolution, TikTok, Customer experience, Jordan, Southwest Responds, red-eye, Boeing",2024-03-12,184.24,0.0
2024-03-11,"A passenger has described the moment people hit the roof of a plane travelling from Australia to New Zealand during what was described as a mid-air ""technical event"".
  Latam says the incident involved a Boeing 787 Dreamliner
  Another passenger told Radio New Zealand reported they saw people ""flying around"", leaving traces of their blood on the ceiling.
   Speaking to the BBC, Mr Jokat revealed that people had hit the ceiling with such force ""some of the roof panels were broken"" while others had been thrown down the aisles after the plane ""dropped unlike anything"" he had ever experienced before.
   In total, New Zealand's St John ambulance service said it had ""assessed and treated approximately"" 50 patients who had been travelling on the Boeing 787 Dreamliner, which had taken off from Sydney.
   ""There was blood coming from several people's heads and people were yelling and screaming and it was chaos,"" Mr Jokat added.
  ",negative,0.87,"North, Auckland, hospital, New Zealand, plane, WICN, Korle, Zealand, airline, Bawumia, Mahama, WiSTEMGh, Jokat, Sydney, Australia, Boeing, Auckland Airport, Naana Opoku-Agyemang, FlightAware, 787 Dreamliner, Yango, Latam, Latam Airlines, Kanye West, flight, FM, people, LatAm Airlines, Joy FM, Tags, Chile, Brian Jokat, blood, RNZ, BBC, Afenyo-Markin, John, technical, jet, Santiago, Ghana, Dreamliner, Contributions, chess, IWD2024, women, Women",2024-03-12,184.24,0.0
