Publication Date,Summary,Sentiment Polarity,Sentiment Confidence,Keywords,stock_date,stock_price,percentage_change
2024-03-07,"Microsoft signed a 10-year deal last year with the Ukrainian company.   Beginning today, Xbox Game Pass subscribers (PC Game Pass and Game Pass Ultimate) with a Boosteroid membership can stream Game Pass titles along with supported titles purchased through the Microsoft Store on Windows.
   Boosteroid first began supporting Microsoft PC game purchases last year.
   Choose the game you want, click “Play” and log into your Microsoft account with an active PC Game Pass or Game Pass Ultimate membership and confirm.
   To stream Game Pass (or Microsoft Store) titles, install the Boosteroid app and sign in.",neutral,0.6,"Pass, Nintendo, Library, game, Game, Pentiment, Ukrainian, Ukraine, Dishonored 2, Activision Blizzard, Android TV, Dishonored, webOS, NVIDIA, Kyiv, PC, ChromeOS, macOS, Microsoft, Tokyo, year, Contributing Reporter, Android, company, games, Microsoft account, cloud gaming, PC game, Game Pass, Windows, antitrust, Boosteroid, Xbox",2024-03-08,406.22,0.0
2024-03-07,"Top Stocks To Buy Now? For those considering AI stocks, thorough research and a clear understanding of the specific AI technologies and market applications are crucial. Investing in AI stocks offers exposure to one of the most promising and fast-growing sectors of the technology industry. The advantages of investing in AI stocks include potential high returns driven by breakthroughs and increasing adoption of AI technologies across sectors. 2 AI Stocks For Your March 2024 List  2024-03-07 13:03:53 ET
 Artificial intelligence (AI) is reshaping industries by enabling machines to perform tasks that typically require human intelligence.",neutral,0.86,"artificial intelligence, market, geolocation, TITAN, PST, ground station, AM, data analysis, QuoteMedia, stock market, volatility, ET, healthcare, YouTube, Next, Microsoft, stocks, data integration, ACC, robotics, AI, usability, List, MSFT, technology, Artificial, technologies, This week, learning, company, StockMarket.com, NASDAQ, counter-terrorism, machine learning, cloud computing, Microsoft Corporation, Azure, Palantir Technologies, applications, PLTR, NYSE",2024-03-08,406.22,0.0
2024-03-08,"DocuSign, Inc. (NASDAQ: DOCU ) Q4 2024 Earnings Call Transcript March 7, 2024  DocuSign, Inc. isn't one of the 30 most popular stocks among hedge funds at the end of the third quarter ( see the details here
 Operator: Good afternoon, ladies and gentlemen. Q4 execution was particularly strong as the team delivered accelerating billings growth, double-digit customer growth, with improving operating margins and record free cash flow generation. Free cash flow improvement was even stronger in Q4 and fiscal year '24. Q4 non-GAAP operating margin rose to 25%, up one point versus last year, while full year non-GAAP operating margin improved by more than five points to 26% from 21% in fiscal '23.
   DocuSign's fourth quarter operating results reflect strong progress across the three pillars of our strategic vision, accelerating product innovation, improving the reach and effectiveness of our omnichannel go-to-market initiatives and strengthening operating and financial efficiency.",neutral,0.54,"Q1, supply chain, common stock, Allan Thygesen, QES-compliant, Jake Roberge, insurance, gross margin, cooperative, Latin America, Blake Grayson, SEC, IDV, SaaS, GTM, DOCU, balance sheet, forecasting, customer experience, Azure, customers, WhatsApp, Q&A Session, IDC, Operator, Magic Quadrant, Roger, cost management, non, pandemic, software optimization, Allan, quarter, substitute, Deloitte, flat file, growth, Identity Wallet, Finance, evolution, DocuSign, customer, year, health care, Operator Instructions, William Blair, CFO, self-serve, SBC, R&D, DocuSign, Inc, financial services, customer retention, procurement, bank, SAP, operating income, Brazil, stack, AI, Vice President, GAAP, business, operator, Radke, Blake, digital, CLM, energy, EPS, UK, bridge, NRR, Microsoft Azure, First Financial, Gartner, Europe, hedge funds, basis points, fiscal, affinity, convertible debt, RSU, Investor Relations, Fortune 500, consumer goods, Roger Martin, net income, CEO, New York, equity, Indiana, asset, Microsoft, fiscal year, Q3, Fiscal year, product, positive sign, automaker, macro environment, NASDAQ, ecosystem, de minimis, Tyler Radke, general availability, Non-GAAP",2024-03-09,406.22,0.0
2024-03-08,"Fast Facts  Apple has revoked its earlier decision to terminate Epic Games' European developer account. ""
  Epic plans to use the account — which was initially approved only a month ago — to launch both Fortnite and an Epic Games store on iOS in Europe, something that on Thursday became enforceable under Europe's Digital Markets Act (DMA
  Related: Apple CEO Tim Cook sends clear message about AI to Wall Street
  Under the DMA, the European Commission designated six tech giants as ""gatekeepers."" Just two days after Apple AAPL revoked Epic Games' European developer account, the tech giant has restored Epic's access.
   Onward!""
  Epic said earlier in the week that Apple's initial decision to revoke its developer account was at least in part informed by a social media post from Sweeney that was critical of Apple's App Store policies and practices.
   -founder and CEO Tim Sweeney said in a post on X that, after a ""swift inquiry"" from the European Commission, Apple informed both Epic and the commission that it would ""relent and restore our access.",positive,0.63,"Noncompliance, Fortnite, Games, digital, Sweden, Signal, gatekeepers, Microsoft, Epic Games, puzzle, European, The move, social media, Tim Sweeney, Commission, registered trademark, Alphabet, CEO, clear message, Europe, Apple AAPL, Tim Cook, AI, European Commission, Epic, ByteDance, TheStreet, Amazon, account, developer, App Store, DMA, TheStreet, Inc, The Arena, AM, Meta, Sweeney, Wall Street, LLC THESTREET, THESTREET, 732-804-1223, Apple, iOS",2024-03-09,406.22,0.0
2024-03-09,"The stock markets have been on the rise recently, with major indexes like the S&P 500 and Nasdaq hitting record highs.
 Gold and Bitcoin Peaks: Are We Heading to Another Dot-Com Bubble?
  Much of the recent market's rise has been driven by a small group of mega-cap tech stocks. Parallels to the Dot-Com bubble
  The dot-com bubble was characterized by a rapid rise and consequent crash in tech stock valuations between 1995-2000.
   Unique risks of the everything bubble
  What makes today's situation even riskier is that it's not confined to just tech stocks, but rather an “everything bubble” spanning equities, bonds, real estate, commodities and more.
   While many investors are cheering the gains, some analysts are sounding the alarm that we may be right in the middle of another financial bubble, similar to the dot-com boom and bust of the late 1990s.
  ",neutral,0.54,"peak, liquidity, S&P 500, financial bubble, Stimulus, dot-com bubble, AI, bubble, mania, dot-com era, real estate, gold, Media hype, meme, Nvidia, Valuations, Microsoft, Gold, tech, bitcoin, Amazon, euphoria, late, dot-com boom, FOMO, Worryingly, air, market capitalization, Nasdaq, Alphabet (Google, real, Bitcoin, Tesla, astounding, stocks, Google, earnings growth, 1990s, stock, Japan, IPO, Unique, dot-coms, trough, Bitcoin Peaks, market, artificial intelligence, Apple, investors",2024-03-10,404.52,0.1877343583596231
2024-03-09,"Cara Antoine, Executive Vice President of Capgemini, built a career at famous companies in the technology sector, but it was a special episode in
her personal life, the loss of sight in one eye, that led her to join leadership positions and international movements in favor of gender equality. Cara Antoine is the President of the Women in Global Technology movement in the Netherlands and one of the directors of the movement Think tank G100, which brings together one hundred women committed to raising government awareness of gender equality. Despite her thirty-year career and impressive resume as a former Microsoft executive and now Executive Vice President and Director of Innovation at Capgemini, it was her personal life — or the obstacles she faced along the way — that gave her the need and momentum to do this. A physically and metaphorically imposing figure, Cara Antoine is a global example of the fight for women's empowerment in technology and science. A [consultora] Capgemini, as a company, must also form partnerships.",neutral,0.96,"Capgemini, Netherlands, Vice President, multinational corporations, Women, ecosystem, swimming, Microsoft, Antoine, gender, President, Lisbon, gender equality, Cara Antoine, GE, Social media, Dutch, Cara, full, Think tank, partnerships, manager, guru, Unapologetic, women, ninja, Jornal Economico",2024-03-10,404.52,0.1877343583596231
2024-03-10,"Elon Musk and Sam Altman co-founded OpenAI as a non-profit venture in 2015 to help combat the threats of AI to humanity
 Recent weeks have seen Musk sue Altman's company for veering from that founding mission and Altman hit back by publishing private emails
  The inside story of their escalating feud charts furious board meetings, threats and accusations of jealousy
  Elon Musk and Sam Altman, once technology visionaries on a joint mission to save the world from the threats of AI, have become embroiled in a fallout that has resulted in a lawsuit and the the publication of private emails.
   Elon Musk last week filed a lawsuit against OpenAI for chasing profit by partnering with Microsoft for $13 billion and keeping the code for its newest generative AI products a secret
  Sam Altman has been credited with turning OpenAI into a company with a $90billion valuation
  In March 2015 Altman and Musk teamed up to discuss their mutual fears about the risks AI could pose to humanity.
   Elon Musk (left) and Sam Altman (right) co-founded OpenAI as a non-profit venture in 2015 to help combat the threats of AI to humanity
  Altman once looked up to Musk but the pair have since publicly fallen out
  Altman retaliated by revealing previously private emails from Elon Musk in an attempt to undermine the lawsuit.
   Musk replied: ‘Agree on all', according to the Journal.
  When OpenAI released ChatGPT in November 2022 Musk irritated Altman by publicly stating that the chatbot had accelerated a dangerous race to develop powerful AI
  Former employees told the Journal that Musk was viewed internally as holding more influence and control than Altman.
   Musk revealed to Altman around the same time that he was planning to start his own AI company, xAI, to compete with OpenAI.
  ",neutral,0.99,"arms race, feud, Google, AI, artificial intelligence, Tesla, U.S, Musk for, Grok, xAI, Twitter, bromance, Ilya Sutskever, Southern California, Journal, Manhattan Project, profit, AI
  Former, fallout, humanity, Altman, Sam Altman, Reid Hoffman, Brockman, ChatGPT, Combinator, Y Combinator, OpenAI, equity, nonprofit, Elon, Microsoft, Tech, Elon Musk, SpaceX, CEO, Musk, open letter, company, AI safety, employees, Linked-In",2024-03-11,415.28,1.879201216819579
2024-03-10,"(Bloomberg) -- Read more: Ukraine Sees Risk of Russia Breaking Through Defenses by Summer
  Vatican spokesman Matteo Bruni made a separate comment after the interview, saying the pope had “picked up” on the imagery of the white flag after it was used by the interviewer. Ukrainian top diplomat pushed back on Pope Francis ' call for his country to show “the courage of the white flag” and enter negotiations
with Russia, a remark that fueled outrage among Ukrainians and condemnation from some foreign allies.
   “My Sunday morning take: One must not capitulate in face of evil, one must fight it and defeat it, so that the evil raises the white flag and capitulates,” Latvian President Edgars Rinkevics said on X.
  Ukraine's leadership has so far ruled out talks with Russian President Vladimir Putin, even as Kyiv's military is strained by troop shortages and an ammunition deficit amid delays in receiving military aid from allies.
   It isn't the first time the Vatican has been forced to clarify comments from the 87-year-old pontiff on Russia and Ukraine.
  ",neutral,0.54,"Latvian, South America, Bing, X, Reforms Start, Bloomberg Businessweek, Bloomberg, flag, Pay Off, World, Barbenheimer Gives, Russian, Inflation, Boeing, pope, Vatican, Oscars, Global South, S&P 500, Ukrainian, Great Firewall, Bloomberg L.P., Bloomberg L.P, Good Friday, Russian President, RSI, Matteo Bruni, diplomat, Airbus, Chinese, Wealthy Expats, Ukrainians, Patience, Rate Cuts, Nigeria, Beijing, Swiss, Pope Francis, Telegram, Microsoft, Bing Helps, Defenses, President, Twitter, Apple Sank, Edgars Rinkevics, Francis, torrent, Gains, Bloomberg
  These, social networks, cross, Russians, Apple, Zelenskiy, pontiff, Tinubu, Moscow, foreign, Turkey, Kuleba, Dmytro Kuleba, Russia, Radoslaw Sikorski, Big-Tech Weaklings, Kyiv, Volodymyr Zelenskiy, Pope, Vladimir Putin, Ukraine",2024-03-11,415.28,1.879201216819579
2024-03-11,"The crowning of the best film ""Oppenheimer"", as well as a good way to learn about world peace.
  The original article can be found in Belajar Perdamaian dari Film ”Oppenheimer”
  The best film at the 2024 Academy Awards Oppenheimer , provides an opportunity to learn about peace in the world. At least, this is the comment that emerged from several residents of the city of Hiroshima in Japan collected by the news agency Reuters, after the film Oppenheimer was named the Best Film at the 2024 Academy Awards, Sunday (10/3/ 2024), United States time.
   This article has been translated using AI.
   The following article was translated using both Microsoft Azure Open AI and Google Translation AI.",neutral,0.99,"city, DWI, world, news agency, Belajar Perdamaian, peace, Hiroshima, AI, article, United States, Reuters, film, Film, Japan, Academy Awards, States, Best Film, Microsoft Azure, Movie, Awards, United, Google, Microsoft, Oppenheimer",2024-03-12,415.28,0.0
2024-03-11,"WASHINGTON (dpa-AFX) - According to recent reports, former Activision CEO Bobby Kotick has expressed interest in purchasing the social media platform, TikTok, in case its parent company, ByteDance, decides to sell it.
  The potential sale of TikTok could reach hundreds of billions of dollars, and the involvement of Kotick and Altman could make this acquisition a reality. The Wall Street Journal has stated that Kotick has engaged with ByteDance co-founder Zhang Yiming regarding a possible sale, with the potential price reaching hundreds of billions of dollars.
   In order to facilitate the purchase, Kotick may seek out partners such as OpenAI CEO Sam Altman, who could use TikTok for AI model training.",neutral,0.91,"U.S, acquisition, Kotick, AI, company, CEO, Bobby Kotick, Activision, Activision Blizzard, national security, House, OpenAI, bill, Chinese, Sam Altman, Altman, platform, ByteDance, social media, WASHINGTON, Senate, TikTok, Microsoft, Zhang Yiming, RTT News",2024-03-12,415.28,0.0
