Publication Date,Summary,Sentiment Polarity,Sentiment Confidence,Keywords,stock_date,stock_price,percentage_change
2023-09-16,"Delivery times for the just-unveiled iPhone 15 Pro quickly slipped until November for some configurations, suggesting that demand is strong for the high-end versions of
 Apple Inc.'s new lineup.
   China saw shipment times slip until November for all iPhone 15 Pro Max models, while standard iPhone 15 Pro versions have three- to four-week waits. Canada is seeing six- to seven-week wait times for the iPhone 15 Pro Max, while Australia, Japan, the UK, India, Canada, France and Germany had delays of as much as eight weeks for the iPhone 15 Pro Max in natural titanium. Shipment times for the blue and black iPhone Pro Max models slipped until as late as Oct. 16, while the natural and white models were delayed until Nov. 13. Delays affected all storage capacities of the iPhone 15 Pro Max, a version that features a revamped camera and larger screen.",neutral,0.95,"Friday, Germany, China, titanium, Apple iPhone, Apple, US, France, delays, Pro, Japan, Apple Inc, models, iPhone 15, iPhone, India, nanometer, UK, model, iPhone 15s, Apple Inc., times, California, Supply chain, Max, Fortune, Shipment, preorders, November, Australia, Pro Max, Canada",2023-09-17,177.97,0.8442883046237587
2023-09-16,"The four-to-five week wait period for the Pro Max in China could also allay fears of a financial hit in Apple's third-largest market amid growing competition from Huawei and Beijing's widening curbs on iPhone use by government staff.
  The four-to-five week wait period for the Pro Max in China could also allay fears of a financial hit in Apple's third-largest market amid growing competition from Huawei and Beijing's widening curbs on iPhone use by government staff.
   By Brenda Goh and Yuvraj Malik
  Buyers of Apple 's new iPhone 15 Pro Max in some countries including China, Japan and the United States may have to wait until November to get the smartphone, an early sign of strong demand for the company as it started taking pre-orders on Friday.
   ""
  STRONG CHINA ORDERS
  The high-end iPhone 15 Pro and Pro Max models were sold out on the Apple store on Alibaba's Tmall marketplace within a minute of going on sale, Chinese local media reports said.
   In top market United States, buyers will have to wait for six to seven weeks before getting the Pro Max, the most expensive model in the iPhone 15 model line-up that was launched last week.",neutral,0.68,"Counterpoint, Yuvraj Malik, China, IDC, Apple iPhone, Apple, United States, Lam, Pro, Mate 60, U.S, gigabyte, Japan, Ivan Lam, STRONG, Brenda Goh, smartphone, Huawei, iPhone, iPhone 15, installed base, Tmall, Chinese, iPhones, model, sale, flagship, Beijing, JD.com, Max, e-commerce, Alibaba, CHINA, Yuvraj, Mate, wait, Nabila Popal, Pro Max",2023-09-17,177.97,0.8442883046237587
2023-09-17,"Thousands of runners and many supporters are expected to descend on Chicago in just a matter of weeks for the 2023 Bank of Chicago Marathon.
  Thousands of runners and many supporters are expected to descend on Chicago in just a matter of weeks for the 2023 Bank of Chicago Marathon. , or by searching""Bank of America Chicago Marathon"" in the Apple and Google Play stores. Spectators will even be able to submit a""digital cheer"" through the app, which might even be displayed on the course as your participant goes by, according to the marathon's NBC 5 Chicago and Telemundo Chicago will offer complete live TV coverage and live streaming of the 2023 Chicago Marathon in both English and Spanish. Users can track up to 20 runners through the app, which also includes an interactive course map, a schedule of events and race photos.
   Sign up for the weekly Chicago Catch-Up newsletter here.
  ",neutral,0.73,"photos, NBC 5, Marathon, Chicago, a""digital, Telemundo Chicago, runners, Spanish, marathon, list, Apple, Catch-Up, race, able, Telemundo, Google Play, Chicago Marathon, Spectators, course",2023-09-18,179.07,0.8731410545290575
2023-09-17,"June Wan/ZDNET   The Apple Watch Series 9 also boasts a new Apple Silicon processor, the S9 SiP, which will be the same chip on the Apple Watch Ultra 2. The Apple Watch Series 9 is now available in a new pink aluminum case. 1. Double-tap feature
  The Apple Watch Series 9 will let you control it by simply tapping your index finger and thumb twice. Apple Watch Series 9 users can ask Siri, “How many hours did I sleep last night?” or tell it to log a workout.",neutral,0.97,"Apple, S9, S9 SiP, iPhones, Watch, Mandarin, Health, smartphone, gold, widgets, HomePods, GPU, Series, June Wan, ZDNET, Product(Red, Consumers, available, Siri, stainless steel, pink, Jason Hiner, sleep, stack, Users, WatchOS 10, accelerometer, Apple/ZDNET, ZDNet, WatchOS, Apple Watch, iPhone, users, graphite, cloud, aluminum, HomePod, ecosystem, flagship, ultra wideband, Silicon, many, algorithm, gyroscope, accessibility, operating system",2023-09-18,179.07,0.8731410545290575
2023-09-18,"Twitter — which is now known as X — has been quite an opinion divider. In a recent interview, Apple CEO Tim Cook explained the company's decision to continue using Twitter, despite accusations of antisemitism on the platform. Cook's comments come after Apple faced pushback for its continued use of Twitter, including spending heavily to advertise on the platform. Cook was asked whether Apple keeps evaluating its stance on advertising on Twitter. When asked by CBS Sunday Morning's John Dickerson whether Apple should cease advertising on Twitter, Cook said, “It's something that we ask ourselves.",neutral,0.86,"CEO, company, Cupertino, Apple, Cook, town, Elon, Elon Musk, X. The, CBS, X. “Yeah, advertisers, town square, Twitter, Tim Cook, platform, John Dickerson, antisemitism, Musk, social media",2023-09-19,175.49,-2.1030904830971675
2023-09-18,"Joe Biden's arrival in New York City caused traffic chaos on Sunday night as he took his family for dinner at a swanky Italian restaurant where Alec Baldwin is a regular.

 The president traveled via Air Force One from the White House to New York on Sunday evening, causing a major traffic pile-up as his motorcade made its way from JFK to the city center

However, after enjoying the family affair, Biden might be keen to avoid his City Hall counterparts next week as they continue to fire criticism at him at every opportunity over the handling of the migrant crisis. New York City is struggling to cope with overwhelming numbers of migrants arriving each month and many have been left to sleep on the streets as they await processing

As 10,000 refugees continue to pour into the city each month, Mayor Eric Adams (pictured) warned the problem is now threatening to 'destroy' New York City

Protesters in New York gather ahead of the UN General Assembly, set to open in the city on September 19, 2023

Department of Homeland Security employees have blasted the mayor's office for having 'no exit strategy' for the 10,000 refugees the city takes in each month

This has sparked private grumbling from developing-country diplomats that key global players won´t be listening to their demands, which need billions of dollars to implement.

 Joe Biden has arrived in New York City ahead of the UN Assembly amid a growing cacophony of criticism over his handling of the Big Apple's migrant crisis

 Later on Sunday, the streets of New York City were blocked again, this time by traffic gridlock as central highways were shut for the president's motorcade to pass through.

",neutral,0.99,"White House, Analilia Mejia, Sunday, Italian, gridlock, NYU, However, global, Hillary Clinton, Clinton, center stage, Jill Biden, Adams, climate, City Hall, NBC, air, Il Cantinori, Ashley Biden, city, pile-up, United Nations, Biden, mass transit, president, war, sleep, UN, Russia, poverty, Alec Baldwin, greenhouse gas, Joe Biden, Jonathan, Ashley, immigration, Motorists, Twitter, FDR, Paris Agreement, traffic, Broadway, climate change, JFK, peak, F*** YOU, Protesters, Zelenskyy, global warming, potato, fossil fuels, port, crackhead, University, Big Apple, cap, Finnegan, pollution, New York, Eric Adams, Manhattan, lane, family affair, mayor, streets, hotspot, York, counterparts, NYC, UN Assembly, AFP, island, motorcade, Ukraine, First Lady",2023-09-19,175.49,-2.1030904830971675
2023-09-19,"BOSTON – Flood Watches are in effect for millions of people in New England from Connecticut and Rhode Island through Boston and into Maine as a coastal storm develops and brings more torrential rain to the region through at least the first part of this new workweek.

 FOX Weather

The National Weather Service has put millions of people in New England under Flood Watches that will remain in effect through at least Tuesday morning.

 Those higher rainfall totals could fall across Rhode Island, eastern Massachusetts and along the New England coast into Maine.

 FOX Weather

Lower rainfall totals are expected closer to the New York City metro area where people in the Big Apple can see less than a half inch. Most of New Hampshire and Maine are also under the Flood Watch as the region prepares for heavy rain to continue through the day and could increase in intensity.",neutral,0.45,"Hartford, Connecticut, Leominster, Rhode Island, Boston, Northeast, Flood Watch, Getty Images, Massachusetts, people, totals, New England, rain, Hurricane Lee, Big Apple, region, flooding, Flood Watches, Leominster, Massachusetts, Philadelphia, Hartford, Flood, England, New Hampshire, Commuters, storm, I-95, Maine, BOSTON, Connecticut, FOX",2023-09-20,173.93,-0.35519908335720685
2023-09-19,";District;Overall  School;W-L;W-L;PF;PA  Pflugerville Weiss;0-0;4-0;154;86  Harker Heights;0-0;2-2;127;99  Bryan;0-0;1-3;96;139
 Temple;0-0;1-3;137;194
  Hutto;0-0;1-3;192;203
  Copperas Cove;0-0;1-3;84;135
  Waco Midway;0-0;0-4;93;148
  Last week's scores: Waco University 22, Copperas Cove 14; Randle 41, Bryan 24; Converse Judson 29, Hutto 19; Harker Heights 27, Odessa Permian 25; Rockwall-Heath 31, Midway 24; Arlington Martin 55, Temple 41; Weiss 52, New Braunfels 50
  Friday's 7:30 p.m. games: Weiss at Harker Heights; Midway at Hutto; Bryan at Temple; Harker Heights is open
  ;District;Overall
  School;W-L;W-L;PF;PA
  Georgetown;1-0;2-2;158;93
  Consol;0-0;2-1;78;44
  Pflug. Cristo Rey Jesuit at Westbury Christian; Apple Springs at Allen Academy; Logos Prep Academy at First Baptist Christian; St. Francis Episcopal at Faith West Academy; Mount Carmel Academy at Conroe Covenant Christian; San Antonio Lutheran at Legacy Christian (5 p.m. Saturday)
  ;District;Overall
  School;W-L;W-L;PF;PA
  St. Joseph;1-0;3-0;166;98
  Brazosport Christian;1-0;1-1;92;75
  Divine Savior;1-0;2-2;156;174
  Founders Christian;0-1;1-1;44;57
  Baytown Christian;0-1;1-2;120;121
  Second Baptist;0-1;1-3;68;200
  O'Connell;0-0;0-3;24;153
  Last week's games: Galveston O'Connell at Lutheran North; Brazosport Christian 44, Founders Christian 13; St. Joseph 46, Baytown Christian 30; Divine Savior Academy-Sienna 60, Second Baptist University-Model 12
  Friday's games 7 p.m.: Georgetown at A&M Consolidated; Cedar Park at East View; Leander Glenn at Pflugerville Hendrickson; College Station at Leander
  ;District;Overall
  School;W-L;W-L;PF;PA
  Lake Creek;0-0;4-0;0;231;65
  Richmond Randle;0-0;4-0;186;24
  Brenham;0-0;2-1;67;58
  Rudder;0-0;2-2;132;123
  Lamar Consolidated;0-0;2-2;61;65
  Huntsville;0-0;1-3;104;106
  Montgomery;0-0;0-4;74;192
  Last week's games: Richmond Randle 41, Bryan 24; Rudder 31, Killeen Chaparral 16; Montgomery Lake Creek 73, Houston Bellaire 7; Argyle 62, Montgomery 0; Clear Springs 28, Huntsville 10; Stafford 23, Lamar Consolidated 7; Brenham was open
  Thursday's 7 p.m. game: New Braunfels at Brenham
  Friday's 7:30 p.m. games: Lamar Consolidated at Rudder; Richmond Randle at Montgomery Lake Creek; Montgomery at Huntsville
  ;District;Overall
  School;W-L;W-L;PF;PA
  Iowa Colony;0-0;4-0;196;37
  Needville;0-0;4-0;161;62
  Bay City;0-0;3-1;132;76
  Stafford;0-0;3-1;86;83
  El Campo;0-0;2-2;97;122
  Navasota;0-0;1-3;62;98
  Brazosport;0-0;0-4;42;161
  Last week's games: El Campo 48, Wharton 18; Needville 49, Sweeny 14; Bay City 29, Sealy 7; Iowa Colony 51, Columbia 14; Navasota 35, Huffman-Hargrave 7; Silsbee 72, Brazosport 27; Stafford 23, Lamar Consolidated 7
  Friday's 7 p.m. games: Navasota at El Campo; Stafford at Needville; Brazosport at Bay City; Iowa Colony is open
  ;District;Overall
  School;W-L;W-L;PF;PA
  Madisonville;0-0;4-0;153;44
  W. Connally;0-0;3-1;212;152
  Waco Robinson;0-0;3-1;109;81
  Salado;0-0;2-2;121;179
  Gatesville;0-0;2-2;115;85
  Last week's games: Madisonville 63, Caldwell 0; Robinson 32, Fairfield 14; Little River Academy 55, Salado 28; China Spring 61, Waco Connally 41; Gatesville 44, Mexia 16
  Friday's 7:30 p.m. games: Gatesville at Godley, 7 p.m.; Boerne at Salado, 7 p.m.; Madisonville at Livingston; Hillsboro at Robinson; Waco Connally at Brownwood
  ;District;Overall
  School;W-L;W-L;PF;PA
  Cuero;0-0;4-0;139;62
  Gonzales;0-0;2-1;90;80
  Giddings;0-0;1-3;80;155
  Smithville;0-0;1-3;75;123
  La Grange;0-0;0-4;68;211
  Caldwell;0-0;0-4;27;150
  Last week's games: Madisonville 63, Caldwell 0; Gonzales at Pleasanton, ppd; Cuero 22, Calallen 14; Taylor 49, Smithville 14; Lago Vista 35, La Grange 20; Burnet 35, Giddings 7
  Friday's 7:30 p.m. games: Lexington at Caldwell, 7 p.m.; Yoakum at Gonzales, 7 p.m.; Cuero at Beeville Jones; Smithville at Lago Vista; Splendora at La Grange
  ;District;Overall
  School;W-L;W-L;PF;PA
  Franklin;0-0;4-0;163;66
  Academy;0-0;4-0;175;78
  Troy;0-0;3-1;88;82
  Lorena;0-0;2-2;132;103
  McGregor;0-0;2-2;78;87
  Cameron;0-0;1-3;125;177
  Rockdale;0-0;1-3;66;118
  Last week's games: Franklin 29, Jasper 14; La Vega 49, Lorena 42; Bellville 56, Cameron Yoe 22; Troy 23, Cypress Christian 14; Academy 55, Salado 28; Jim Ned 38, Rockdale 12; McGregor 35, Clifton 7
  Friday's 7:30 p.m. games: Franklin at McGregor; Lorena at Cameron Yoe; Troy at Academy; Rockdale is open
  ;District;Overall
  School;W-L;W-L;PF;PA
  Anderson-Shiro;0-0;4-0;200;6
  Newton;0-0;2-0;102;93
  Warren;0-0;3-1;70;39
  Kountze;0-0;2-2;147;105
  Hemphill;0-0;2-2;130;165
  New Waverly;0-0;0-4;27;126
  Trinity;0-0;0-4;24;181
  Last week's games: Anderson-Shiro 70, Evadale 0; Kirbyville 52, Hemphill 14; Buna 49, Kountze 14; Palestine Westwood 36, New Waverly 7; West Sabine 44, Trinity 0; Warren 12, Huntington 6; Newton 58, West Orange-Stark 54
  Friday's 7 p.m. games: Anderson-Shiro at Kountze; Hemphill at Trinity; Warren at Newton; New Waverly is open
  ;District;Overall
  School;W-L;W-L;PF;PA
  Elkhart;0-0;2-2;82;100
  Clifton;0-0;2-2;87;75
  Lexington;0-0;2-2;111;91
  Rogers;0-0;2-2;115;120
  Buffalo;0-0;0-4;20;187
  Florence;0-0;0-4;31;157
  Last week's games: Lexington 32, Tomball Christian HomeSchool 30; McGregor 35, Clifton 7; Edgewood 42, Elkhart 0; Rogers 34, Palmer 27; Johnson City 53, Florence 14; Teague 54, Buffalo
  Friday's 7 p.m. games: Lexington at Caldwell; Clifton at Millsap; Elkhart at Edgewood; Rogers at Johnson City; Florence at Dublin; Buffalo at Teague; Normangee at Buffalo, 7:30 p.m.
  ;District;Overall
  School;W-L;W-L;PF;PA
  Centerville;0-0;3-1;98;68
  Leon;0-0;2-2;70;85
  Groveton;0-0;2-2;99;68
  C-Cadmen;0-0;0-4;39;176
  West Hardin;0-0;0-4;44;212
  Normangee;0-0;0-4;12;208
  Friday's 7 p.m. games: Milano 21, Meridian 6; Granger 35, Goldthwaite 6; Itasca 28, Bartlett 12; Holland 31, Bremond 21; Chilton 19, Hearne 13; Iola 38, Thorndale 31
  Friday's 7 p.m. games: Iola vs. Maud in Rusk; Bruni at Granger; Cypress Christian at Milano; Woodsboro at Bartlett; Bremond is open
  Saturday's 6 p.m. game: Deweyville at Chilton
  ;District;Overall
  School;W-L;W-L;PF;PA
  Louise;0-0;2-2;65;102
  Falls City;0-0;1-3;97;125
  Burton;0-0;1-3;82;111
  Yorktown;0-0;1-2;56;80
  Somerville;0-0;0-4;67;183
  Snook;0-0;0-4;50;169
  Runge;0-0;0-4;0;8
  Last week's games:
  San Antonio Holy Cross 21, Burton 20; Stockdale at Yorktown, ppd; Weimar 51, Snook 20; Kenedy 26, Somerville 17; Sacred Heart 38, Louise 0; Bloomington 2, Runge 0, forfeit; Flatonia 35, Falls City 28
  Friday's 7 p.m. games: Burton at Falls City; Somerville at Yorktown; Runge at Louise; Snook is open
  ;District;Overall
  School;W-L;W-L;PF;PA
  Oglesby;0-0;4-0;222;32
  Buckholts;0-0;0-4;20;164
  Calvert;0-0;0-3;48;148
  Last week: Centerville vs. Jefferson at Rusk
  ;District;Overall
  School;W-L;W-L;PF;PA
  Holland;0-0;4-0;129;70
  Weimar;0-0;4-0;206;40
  Thrall;0-0;3-1;161;76
  Flatonia;0-0;3-1;105;111
  Hearne;0-0;1-3;62;80
  Schulenburg;0-0;1-3;87;155
  Thorndale;0-0;0-4;50;147
  Last week's games: Weimar 51, Snook 20; Holland 31, Bremond 21; Flatonia 35, Falls City 28; Iola 38, Thorndale 31; Poth 48, Schulenburg 7; Leon 20, Thrall 14; Chilton 19, Hearne 13
  Friday's 7:30 p.m. games: Weimar at Holland; Schulenburg at Thorndale; Flatonia at Thrall; Hearne is open
  ;District;Overall
  School;W-L;W-L;PF;PA
  Chilton;0-0;4-0;135;27
  Milano;0-0;3-0;111;19
  Iola;0-0;3-1;104;116
  Granger;0-0;3-1;151;45
  Bremond;0-0;2-2;167;92
  Bartlett;0-0;0-4;64;179
  Friday's 7:30 p.m. games:",neutral,0.53,"Silsbee 72, Mexia, High Island, New Waverly, College, Lamar Consolidated, Thorndale 31, Lutheran, Divine Savior;1, Academy;0, La Grange, Runge 0, Iowa Colony, Burnet, Sabine, Falls, Waco, Richmond, Chilton, Splendora, Huntsville 10, Weimar 51, Woodsboro, Needville 49, Maud, Calvert, Florence, West Hardin, Thursday, Smithville;0, Salado 28, New Braunfels, Little River, Founders Christian, Hearne;0, Popular, Thrall 14, Groveton 23, Lorena 42, Needville;0, Copperas Cove;0, Converse Judson, Weimar, Bay City;0-0;3-1;132;76, Cameron Yoe, Lexington, Kountze 14, Mart 36, Evadale 0, Burton, Caldwell, Montgomery, Jim Ned, W. Connally;0-0;3-1;212;152, Last, Hemphill 14, Centerville 21, Jefferson, St. Joseph;1, Jasper 14, Corrigan-Camden, week, Waco University, Florence;0, Granger, Centerville, China, Lovelady 60, Fairfield, Kountze, Cedar, Yorktown; Runge, Academy 55, Smithville, Richmond Randle, Troy, Temple, Clear Springs, Grapeland 8, Brazosport Christian, Holland, Brenham, Columbia 14, Lutheran North, Louise;0, Bellaire, Gonzales, St. Joseph, Cushing 49, Beeville, Clifton 7, Normangee 0, College Station, Chilton 19, Northland Christian, Johnson City, Huntsville Omega, West Orange-Stark, Northland, La Vega, Flatonia;0-0;3, Schulenburg, Rudder 31, Flatonia, Apple Springs, Kenedy, Kountze;0, Burton 20, games, Buffalo, Godley, Bay City, Edgewood 42, Hearne, Dublin, Pleasanton, Cuero, Waco Connally, Allen Academy;0-0;2-2;175;114, Arlington, Newton, Alto, El, Burkeville, Somerville, Lorena, Granger 35, Robinson 32, East View;0, Iola 38, Rockdale 12, Clifton, Harker Heights, Smithville 14, Bay Area, San Antonio, McGregor 35, West, Normangee, Brazosport, Madisonville 63, p.m., Huntington 6, Salado, BVCHEA, Bartlett, Calallen 14, Westbury Christian, Covenant Christian;0-0;4-0;256;77, Gatesville, Bryan, Pflug, Pflugerville, Lago Vista, Giddings 7, Cedar Park, Tomball, Bellville, El Campo, Stafford 23, Corrigan-Camden 27, Falls City, Playing, Warren 12, C-Cadmen;0-0;0-4;39;176, Milano, Brazos Valley, School;W, Trinity, Huntsville, Christian 47, Buna 49, Elkhart, Wharton 18, Newton 58, Colony 51, Christian 44, Livingston, Midway, Brazosport 27, Brazosport Christian;1-0;1, Homecoming, MADISONVILLE, Buna, Rosehill Christian, Georgetown, Hearne 13, Schulenburg;0-0;1-3;87;155, Waco Robinson;0-0;3-1;109;81, Methodist Children, Iowa, Fairfield 14, Rusk, Franklin 29, Eagle, Legacy, Sweeny 14, Madisonville, Legacy Christian, Taylor, Bremond, Coldspring 50, La Grange;0-0;0-4;68;211, Galveston O'Connell, Lorenzo Johnson, Odessa Permian, Thorndale, A&M Consolidated, Normangee;0-0;0-4;12;208, Stafford, Killeen, Montgomery;0-0;0-4;74;192, Baytown, Cameron, Bloomington 2, Giddings, Huffman-Hargrave 7, Brazos, Brownwood, Navasota 35, Leander, 1;151;45, Kirbyville 52, L;PF;PA, Edgewood, Anderson-Shiro 70, Buckholts, Chaparral, Franklin, Beeville Jones, Lamar, Anderson-Shiro, Yoakum, Copperas Cove, Huntsville;0, Warren, Allen Academy, Lovelady, Argyle, Bruni, Rockdale, Randle, Burnet 35, Elkhart 0, Gatesville 44, Teague, Leon, Palestine, Randle 41, Georgetown 62, Huntington, Houston, Bryan 24, Lake, Hemphill, Needville, Ty Williams, Groveton, Christian 14, Louise 0, Hutto, Florence 14, Christian, Boerne, KIPP Sunnyside, Navasota, Millsap, Thrall, Rogers 34, New Waverly;0-0;0-4;27;126, Hillsboro, Silsbee, Anderson, Robinson, Montgomery 0, Rockdale;0, Iola, School;W-L;W, Mexia 16, Caldwell 0, Glenn, Deweyville, Hempstead, Friday, Prairie Lea, Academy",2023-09-20,173.93,-0.35519908335720685
2023-09-20,"Courtesy of Yancey Hughes Theaters in the Evanston and Chicago area make up a vibrant theater scene for audiences to enjoy.

 Look no further than Northwestern’s own backyard — both Evanston and Chicago — for a variety of plays and musicals this fall.

Until NU’s on-campus musical productions put on their best acts later this quarter, check out these musicals in the Chicago and Evanston area to get in on the city’s best productions (and all that jazz).

 However, the theater has a variety of plans in store for the upcoming year and also offers a season subscription for those who don’t plan on missing a show.

 For the most dedicated musical theater fans, subscriptions for the 2023-24 season will be released on Oct. 4. The theater has a variety of productions in store for the 2023-24 season, including “Dial M for Murder,” “Selling Kabul” and “Brooklyn Laundry.”",neutral,1,"Email, theatre, theater, Fleetwood, season, cross, Chicago, productions, Broadway, Wildcard Advantage, Mamma Mia!, Peter Pan, — Opening, Beetlejuice, variety, Twitter, Evanston, Big Apple, nonprofit, Koi, Theatre, Northwestern, Black, musical, New York, weed, Skokie, show, musical theater, Brooklyn, Earth, NU, Hamilton, jazz, Kabul, bank, Related Stories",2023-09-21,174.79,0.06870097898895319
2023-09-20,"THE launch of Huawei's latest mobile phone should not have happened, according to the plan of US strategic and foreign policymakers. Over the past fiv... Technical analysts who examined the Mate smartphone's internals commended Huawei for pushing the boundaries of innovation and delivering cutting-edge technology at affordable prices for users.
  – REUTERSPIC
  launch of Huawei's latest mobile phone should not have happened, according to the plan of US strategic and foreign policymakers. Over the past fiv...
 THE launch of Huawei's latest mobile phone should not have happened, according to the plan of US strategic and foreign policymakers. The number one target in the crosshairs of the US has been Huawei, China's telecommunications manufacturing giant, which in 2012 overtook Ericsson as the world's largest telecommunications equipment provider and in 2018 displaced Apple as the second largest smartphone manufacturer.
   Subsequently, the Federal Communications Commission categorised Huawei as a national security threat and issued an order in 2020, instructing US carriers to remove Huawei equipment from their networks.",neutral,0.69,"launch, Asean, war, national security, equipment, US, telecommunications, China, crosshairs, Malaysia, smartphone, fiv, Huawei, Trump administration, Apple, world, Ericsson, mobile phone, other, Mate, REUTERSPIC, largest",2023-09-21,174.79,0.06870097898895319
