Publication Date,Summary,Sentiment Polarity,Sentiment Confidence,Keywords,stock_date,stock_price,percentage_change
2024-02-13,"El Paso County man faces murder charge in slaying at child-custody handoff
An El Paso County man is in jail on suspicion of first-degree murder after allegedly shooting the father of his fiancee’s child shortly before 3 p.m. on Feb. 11 in northwestern Elbert County.
  The affidavit says Elbert County Sheriff’s Office dispatch, which was receiving information from the scene while deputies were en route, advised that Bolan “appeared to be beyond help” after the shooting and that Church had placed the handgun in his vehicle after the shooting but remained on the scene. Jeffrey Allen Church, 26, who lives north of Black Forest in El Paso County, allegedly shot and killed Parker resident Michael Bolan, 36, outside the Valero gas station located on Elbert County Road 166 (Singing Hills Road) near Madrid Drive.
  The sheriff’s deputy who transported Church to the Elbert County Jail noted in the affidavit: “During this transport Jeffrey only made one statement, asking where his kids were.”
 Church exercised his rights not to speak with Elbert County investigators at the jail, where he was booked on a charge of first-degree murder. A sheriff’s office press release and the affidavit describe the first deputy from Elbert County and a Douglas County deputy arriving at the Valero and holding Church at gunpoint until other Elbert County deputies arrived and Church was taken into custody.",neutral,0.47,"Michael Bolan, fight, handgun, Amazon, Chevrolet, deputy, Jeffrey, Valero, custody, District Court, first-degree murder, Chevrolet Tahoe, sheriff, dashcam, Elbert, Witnesses, gas station, Black Forest, Madrid, Jail, affidavit, Elbert County, Parker, semiautomatic handgun, Douglas County, AdventHealth, Bolan, ”
 Church, County, Church, station",2024-02-14,169.8,-0.4572634540977847
2024-02-13,"Sexy Magnetic you

Instant Free Access to Vanessa's audiobook, ""Sexy Magnetic You"" and ""Be the Diamond"", Masterclass with NeuroTrance Yoga Download

 The app also offers personalized coaching sessions with Smith, allowing users to receive guidance and support on their journey towards self-discovery and personal growth.

 ""

The launch of the NeuroTrance Yoga app is a significant milestone for Smith, who has been helping individuals transform their lives for over a decade. AUSTIN, TEXAS, USA, February 13, 2024 /EINPresswire.com/ -- Renowned life coach and author, Vanessa Smith, has recently launched the NeuroTrance Yoga app, a revolutionary mind, body, soul, and life coaching app. With the app, users can create a free account and gain instant access to Smith's audiobook, ""Sexy Magnetic You,"" as well as a free masterclass titled ""Be the Diamond.""",neutral,0.87,"Magnetic, social media, Yoga, Sexy, iOS, Yoga Download, UNSTOPPABLE, Media Relations, AUSTIN, revolutionary, romantic love, TEXAS, Renowned, Vanessa Smith, AUSTIN, TEXAS, harmony, rave, podcast, Android, soul, Valentine, meditation, audiobook, Yogi, yoga, users, Smith, NeuroTrance Yoga, Deepak Chopra, NeuroTrance, life, self-improvement, life coaching, Yoga App, life coach, Joan Jett, USA, Amazon, Vanessa, Yoga

Email, Diamond",2024-02-14,169.8,-0.4572634540977847
2024-02-14,"Late Wednesday morning, the jury submitted a question to the court asking about how they should consider the defendant's mental health issues.
 Noni Night AHA Pore & Resurfacing Serum
 SHOP NOW sephora.com
 $74.00
 $51.80
 Amazon
 Don’t skip the beauty tab while you’re hunting for early Presidents’ Day deals on Amazon. Here's what we found
 Prevention editors found Presidents’ Day skincare deals that are worth it
 Prevention editors found Presidents’ Day skincare deals that are worth it
 To help you upgrade your winter skincare routine for less, we’ve located 12 of the best skincare sales to shop ahead of President’s Day weekend. While most Presidents’ Day beauty sales won’t have as deep of discounts or as large of selections as they will during big-time shopping holidays like Labor Day and Black Friday, you can still score comparable deals if you shop wisely. In doing so, we confirmed that, while the best skincare deals won’t be here until mid-February, there are plenty of early Presidents’ Day sales to start shopping now.",positive,1,"Lash, mental health, Hauschka, skinstore.com, moisturizer, defendant, brands, Obagi, Lancer, nordstrom.com, Amazon, Cream, BeautyStat, dermatologist, Aloe, Noni, Presidents, LUNAR24, moisturizers, Presidents Day, Nordstrom, Labor Day, bank, Booster Duo, Beauty Ora, Hyper, President, Lip Booster, Eva Mendez, Armani, Paula, Laura Dern, LEGO, Oprah, Verso, Why wait, Confidence, Essence, Mario Badescu, anti-aging, La Roche, Retinol, skincare, Lopes, serum, MAC Cosmetics, Ulta, Peter Thomas, Moisturizer, Alpha-H, Black Friday, Snail Mucin, Saks, Therapy, Neogen, Therapy Wand, C15 Super, drugstore, SHOP, Dermstore, safari, beauty, Jessica Chastain, Macy, Liquid Gold, We'’l, sales, Ora, NOW, lightning, products, Cetaphil, hunting, French, deals, smartphone, Face Gym, Lotion, Presidents sales, sale, Brooke Shields, retinol, SkinStore, Sephora, Mario, department, Presidents’ Day, Super Bowl, hair care, Peruse, Kate Hudson, TREAT, amazon.com, Mucin, Armani Beauty, Tom Ford, StriVectin, Laura Mercier, Usher, Midway, Paintings",2024-02-15,169.51,0.4563233376792591
2024-02-14,"Engadget has been testing and reviewing consumer tech since 2004. In any case, $450 is the best price we've seen for the AirPods Max since the 2023 holiday shopping season.

 There's no denying that Apple's AirPods Max are a solid set of premium over-ear headphones that include all of the best features of in-ear AirPods. However, the main drawback with the AirPods Max is its high regular price of $550. For our money, Bose's QuietComfort Headphones are the best noise canceling wireless headphones around.",neutral,0.97,"battery, Headphones, ANC, Amazon, best, AirPods, Engadget, tech, headphones, Siri, noise, Apple, sky blue, price, model, Bluetooth, Max, AirPods Max, Twitter, wireless",2024-02-15,169.51,0.4563233376792591
2024-02-15,"WOODBRIDGE, Va. — Another option for Fire TV is to have the app delivered directly to your Fire TV through Amazon.
  SIGN UP TO RECEIVE WUSA9 NEWSLETTER
  Subscribe to our daily WUSA9 Newsletter for top stories from WUSA9 curated daily just for you. For both Apple TV and Fire TV, search for ""WUSA9"" to find the free app to add to your account. Tell us about it by emailing newstips@wusa9.com
  MORE WAYS TO GET WUSA9
  DOWNLOAD THE WUSA9 APP
  Apple App Store: WUSA9 News on Apple
  Google Play Store: WUSA9 News on Android
  HOW TO ADD THE FREE WUSA9+ APP TO YOUR STREAMING DEVICE
  ROKU: add the channel from the ROKU store or by searching for WUSA9.
   Rhinehart was arrested and charged with burglary and impersonating law enforcement, according to the Prince William Police.
  ",neutral,0.76,"content, WOODBRIDGE, information, Fire TV, Va, UP, Evans, Georgia, burglary, Genie Rhinehart, wusa9, enforcement, Old Bridge, Genie, Cebu Island, Georgia, NEWSLETTER, Evans, Prince William, WUSA9, APP, Woodbridge, Amazon, Apple, Police, Apple TV, home, DOWNLOAD, ROKU, WUSA9 Newsletter, Rhinehart, Android",2024-02-16,169.51,0.0
2024-02-15,"Pekiaridis/Nurfoto via Getty Images) Nurfoto via Getty Images  Corrected, February 15, 2024: Can Teemu repeat the same success in the United States and take a bigger share of Amazon's estimated 38% market share for US e-commerce?
   But for now, Teemu is more likely to gnaw at the edges of Amazon's US e-commerce dominance rather than make a dent in its market share.
   The US market is closely watching Chinese company Teemu as it aggressively pursues global expansion.
   Temu enables stressed private manufacturers to reduce their inventory while providing affordable adventure shopping.
  spend like a billionaire
  While Teemu's shoppers may get the feeling of a fleeting billionaire from discounts and coupons, Teemu is literally spending billions of dollars in online advertising to build its brand and acquire users.",neutral,0.55,"online marketplace, awash, online advertising, Kraków, pipeline, Southeast Asia, CBS, New Hobby, 49ers, Super Bowl, Chinese, SEC, Apple, capital markets, Getty Images, formula, Poland, coupons, Paramount, Sensor Tower, United States, Europe, sunglasses, IPO, Updated, Drew Bernstein, confluence, bionic, e-tailer, US, Marcum Asia, Pinduoduo, big toe, adventure, national security, accounting, Marcum, China, billionaire, Teemu, endoscopic, Twitter, SPAC, Senator, Chiefs, spinning wheel, JD.com, Jakub Porzycki/Nurfoto, earbuds, gambling, JPMorgan, deflation, Etsy, Nurfoto, Arkansas, ABC, inflation rate, Nike, gamification, PWD, Pekiaridis/Nurfoto, market share, Singapore, Chinese economy, COVID-19, Meta, Amazon, e-commerce, digital, MBP, consumers, Asian, Asia, audit, middle class, PCAOB, flea market, market, LinkedIn, company, Tom Cotton, Instagram, Alibaba, crown, Republican, lingerie, Facebook, U.S, Africa, Temu, night vision",2024-02-16,169.51,0.0
2024-02-16,"Whether you need an entertainment hub of beloved movies to keep your kiddos occupied on long road trips or an engaging tool your child can use to meet their learning goals, tablets can help you as you support your kids.

 Best splurge tablet deal for older kids

Why we like it

Released in 2023, the Amazon Fire HD 10 Kids Pro tablet is the latest model, complete with a 10.1-inch display screen and super-fast processing thanks to 3 GB RAM. Just like the HD 10 Kids Pro, this tablet has a 13-hour battery life and comes with a slim, kid-friendly case and a year of Amazon Kids+. In today's sale, the Amazon Fire HD 8 Kids Pro tablet is on sale for 33% off, taking the price down from $149.99 to $99.99. Made for smaller kids ages 3-7, the Amazon Fire 7 Kids tablet is extra durable and comes with a thick case that's designed to hold up to the wear and tear of everyday life.",neutral,1,"Fire tablets, tablet, Mashable Deals, tablets, Best, today, Mashable, Privacy Policy, life, Released, Fire HD, Fire 7, battery, Kids, sale, Deals, Amazon, Fire, model, Amazon Kids, Amazon Fire, RAM",2024-02-17,169.51,0.0
2024-02-16,"Jennifer Lopez shocked fans as she sang about her racy sex life with husband Ben Affleck in a new song from album, This Is Me... The star, 54, whose latest album is dedicated to her reignited love with Affleck, 51, after 20 years apart, detailed her raunchy love life with the actor in graphic lyrics from track, Greatest Love Story Never Told - Affleck is seen in a thirst trap shared by JLo

'Twenty years ago, feels like time has froze/ We're living in the greatest love story ever told

'We never let it go and never told a soul/We could've been the greatest love story never told.'

Jennifer and Ben famously rekindled their romance 18 years after calling off their engagement in 2003. The star, 54, whose latest album is dedicated to her reignited love with Affleck, 51, after 20 years apart, detailed her raunchy love life with the actor in graphic lyrics from track, Greatest Love Story Never Told.

 And we got so much time left, this time, we won't let go

Jennifer Lopez shocked fans as she sang about her racy sex life with husband Ben Affleck in a new song from album, This Is Me... For inspiration, Jennifer provided her colleagues with the letters, a collection of writings Affleck had named 'The Greatest Love Story Never Told'.

",positive,1,"Story, Amazon, Ben Affleck, Xochitl Gomez, Jennifer Lopez, brainstorming, film, Oscar, Ben, Jennifer, Love Story, Montana, love letters, musical film, knot, Variety, The documentary, life, love, Las Vegas, wife, Affleck, Fat Joe, America Ferrara, Montana Tucker, irony, soul, Love, surrealistic, Georgia, star, Lopez, Becky G, romance, rough cut, story, movie",2024-02-17,169.51,0.0
2024-02-17,"The incredible monitor Samsung Odyssey Ark today it is on offer on Amazon with one 11% discount, who brings it at the interesting price of €2657.09 , instead of €2999.
 On offer at €2657.09 , the Samsung Odyssey Ark is an ideal investment for those who want the definitive monitor for their gaming or work setup and want something capable of offering a lot of space, with top of the range and versatile features, to best adapt it to different needs. We are talking about a 55-inch curved monitor, with 4K resolution, 165Hz refresh rate and Mini-LED panel, capable of offering an unprecedented user and visual experience, both for gaming and for working and watching contents.
   Samsung Odyssey Ark monitor, who should buy it?
   This monitor will be able to satisfy the needs of the most demanding users, thanks to latest generation technologies and specifications combined with particular features that make it suitable for everyone.",positive,1,"Galaxy, adventure, Android, features, simulation, capable, inch, monitor, Xbox Cloud, storyboard, GeForce, Odyssey, Gaming Hub, iPhone, cloud gaming, action, web browser, Xbox, Samsung, storyboard*{color, different, See, GeForce Now, offer, 4K resolution, refresh rate, Amazon, gaming",2024-02-18,169.51,0.0
2024-02-17,"Our publishing packages and prices are here: https://publishing.booklocker.com
Our print books are listed on Amazon.com, BarnesandNoble.com, Walmart.com, Target.com, BookLocker.com, booksamillion.com, Chapters.ca and numerous other stores, both domestic and foreign. Any bookstore with an Ingram account (Ingram is the world’s largest book distributor) can pick up Ingram’s feed, so you’ll find your book listed in stores you’ve never heard of. While all of these stores currently add our books automatically, and have never refused to add one of our books, we can’t guarantee that every book will be added by all of Ingram’s bookstore clients, nor that any of their clients will continue to list/sell a particular book for eternity. 
 Most bookstores use Ingram’s database to find and order books so bookstore customers can ask their neighborhood bookstore to order your book as well. If you use a Booklocker.com ISBN, your book will also be listed in Bowker’s database.",neutral,0.85,"iPads, Amazon.com, Walmart.com, Angela, packages, book, iPods, Nook, Amazon, largest, ebook, Kindle, BarnesandNoble.com, Ingram, Bowker, Kobo, Canada, DIY, Google Play, bookstore, books, Target.com, bookstores, Apple",2024-02-18,169.51,0.0
