Publication Date,Summary,Sentiment Polarity,Sentiment Confidence,Keywords,stock_date,stock_price,percentage_change
2024-02-13,"Curran Financial Partners LLC increased its stake in shares of General Electric ( NYSE:GE – Free Report ) by 12.1% during the third quarter, Holdings Channel reports.
 Royal Bank of Canada lowered their price objective on shares of General Electric from $150.00 to $148.00 and set an “outperform” rating on the stock in a research note on Wednesday, January 24th. Finally, Citigroup lifted their price objective on shares of General Electric from $135.00 to $148.00 and gave the stock a “buy” rating in a research note on Monday, December 11th. Wells Fargo & Company raised their target price on shares of General Electric from $144.00 to $148.00 and gave the company an “overweight” rating in a research note on Wednesday, January 24th. Get Our Latest Stock Report on GE
  Insider Activity at General Electric
  In related news, SVP Michael J. Holston sold 13,601 shares of the business's stock in a transaction that occurred on Friday, February 2nd.",neutral,0.67,"stock, General, The conglomerate, stake, quarter, period, steam turbines, Africa, Nicolet, Insider Activity, Holston, General Electric, SVP, market capitalization, Middle East, hedge funds, fiscal year, P/E, Dividend, China, Asia, institutional investor, NYSE, Canada, MarketBeat.com, HoldingsChannel.com, Europe, Americas, PE ratio, institutional investors, Hedge, LLC, research, shares, Electric, TheStreet, equity, SEC, overweight, EPS, PE, company, The firm, dividend, GE, Featured Stories, Citigroup, Holdings Channel, conglomerate, ratings, average",2024-02-14,148.37,0.9319727891156494
2024-02-13,"Presidents' Day is coming up quickly this weekend on Feb. 19, which means that if you've been waiting for big appliances like washers, dryers, chest
freezers, grills or dishwashers to go on sale, now's the time to buy. In this article : Top Deals | Washer & Dryer Deals | Fridge & Freezer Deals | Dishwasher Deals | Kitchen Appliance Deals | Small Appliance Deals | Deals On Grills
  Top Appliance Deals:
  Singer Portable Lightweight Basic Sewing Machine
    Save $56
  See at Target
  Midea MRC070S0AWW Chest Freezer 7.0 Cubic Feet
    Save $39
  See at Amazon
  Whirlpool 7-cu ft Electric Dryer
    Save $221
  See at Lowe's
  KingChii Wood Pellet Grill & Smoker
    Save $163
  See at Walmart
  Crock-Pot Electric Lunch Box
    Save $10
  See at Amazon
  DEWALT 20V MAX Cordless Drill and Impact Driver
    Save $100
  See at Amazon
  Bissell Little Green Portable Carpet Cleaner
    Save $35
  See at Walmart
  Washer & Dryer Deals:
  Whirlpool 7-cu ft Electric Dryer
    Save $221
  See at Lowe's
  GE Gtd33eak 27"" Quick Overview
  Singer Portable Lightweight Basic Sewing Machine
    Save $56
  See at Target
  Midea MRC070S0AWW Chest Freezer 7.0 Cubic Feet
    Save $39
  See at Amazon
  Whirlpool 7-cu ft Electric Dryer
    Save $221
  See at Lowe's
  KingChii Wood Pellet Grill & Smoker
    Save $163
  See at Walmart
  Crock-Pot Electric Lunch Box
    Save $10
  See at Amazon
  DEWALT 20V MAX Cordless Drill and Impact Driver
    Save $100
  See at Amazon
  Bissell Little Green Portable Carpet Cleaner
    Save $35
  See at Walmart
  Whirlpool 7-cu ft Electric Dryer
    Save $221
  See at Lowe's
  GE Gtd33eak 27"" Ft. Stainless French Door Refrigerator
    Save $745
  See at Walmart
  Frigidaire EFR751 2-Door Apartment-Size Refrigerator With Freezer
    Save $50
  See at Amazon
  Midea MRC070S0AWW Chest Freezer 7.0 Cubic Feet
    Save $39
  See at Amazon
  Hotpoint 6.9-cu ft Manual Defrost Chest Freezer
    Save $50
  See at Lowe's
  Northair 3.5 Cu Ft Chest Freezer
    Save $114
  See at Amazon
  Kismile 7.0 Cubic Feet Chest Freezer with Removable Basket
    Save $30
  See at Amazon
  Dishwasher Deals:
  Frigidaire Front Control 24-in Built-In Dishwasher
    Save $210
  See at Lowe's
  GE Dry Boost Top Control 24-in Built-In Dishwasher With Third Rack
    Save $350
  See at Lowe's
  Whirlpool Top Control 24-in Built-In Dishwasher With Third Rack
    Save $330
  See at Lowe's
  Kitchen Appliance Deals:
  Crock-Pot Electric Lunch Box
    Save $10
  See at Amazon
  Beautiful 6 Qt Air Fryer by Drew Barrymore
    Save $21
  See at Walmart
  Ninja 4QT Ft. Stainless French Door Refrigerator
    Save $745
  See at Walmart
  Frigidaire EFR751 2-Door Apartment-Size Refrigerator With Freezer
    Save $50
  See at Amazon
  Hotpoint 6.9-cu ft Manual Defrost Chest Freezer
    Save $50
  See at Lowe's
  Northair 3.5 Cu Ft Chest Freezer
    Save $114
  See at Amazon
  Kismile 7.0 Cubic Feet Chest Freezer with Removable Basket
    Save $30
  See at Amazon
  Frigidaire Front Control 24-in Built-In Dishwasher
    Save $210
  See at Lowe's
  GE Dry Boost Top Control 24-in Built-In Dishwasher With Third Rack
    Save $350
  See at Lowe's
  Whirlpool Top Control 24-in Built-In Dishwasher With Third Rack
    Save $330
  See at Lowe's
  Beautiful 6 Qt Air Fryer by Drew Barrymore
    Save $21
  See at Walmart
  Ninja 4QT",neutral,0.9,"745, Mora, Keurig, Nordstrom, DEWALT, SEATAO VH5188, Deals, Ponderosa, Drew Barrymore, Smoker
    Save, Electric Dryer, AirPods, Washer
    Save, Griddle, deals, Gourmet, Amazon
  Beautiful, French, Qt, Quick Overview, KingChii, sale, Amazon, Presidents Day, Walmart
  Ninja, Ninja DG551, See, Walmart
  Whirlpool, Hotpoint, Cu, Blender, White Noise, Amazon
  Kismile, Dishwasher, LG, Walmart, QVC, more, Zappos, Carpet Cleaner, Walmart
  25.6, GE, Propane, Lowe, Target, Hamilton Beach, Appliance Deals, General Electric, Target
  Midea, Target
  Deals, Hamilton, Frigidaire, Royal Gourmet, Crock-Pot, Washing Machine, Home Depot, Presidents, Advertisement, Chest Freezer, Save, Grills, appliances, QuadClean
    Save, Expert Grill, Northair, Lightweight, MAX, Whirlpool",2024-02-14,148.37,0.9319727891156494
2024-02-14,"TO LEARN MORE ABOUT THE INVESTIGATION  Fairfax Financial, headquartered in Toronto, provides property and casualty insurance and
reinsurance, as well as investment management services in the United States and internationally.
   James Maro at jmaro@bm.net or (267) 637-3176, or Andrew Abramowitz at aabramowitz@bm.net or (215) 875-3015 or CLICK HERE
  Whistleblowers: Anyone with non-public information regarding Fairfax Financial is encouraged to confidentially assist Berger Montague's investigation or take advantage of the SEC Whistleblower program. If you are a Fairfax Financial investor and would like to learn more about our investigation, please contact Berger Montague: Contacts:
  James Maro, Senior Counsel
  Berger Montague
   jmaro@bm.net
  Andrew Abramowitz, Senior Counsel
  Berger Montague
   aabramowitz@bm.net Berger Montague has represented individual and institutional investors for over five decades and serves as lead counsel in courts throughout the United States.
  ",neutral,0.75,"Financial, GE, Minneapolis, San Francisco, Delaware, San Diego, FRFHF, Andrew Abramowitz, Toronto, Berger Montague, Berger, Fairfax Financial, Washington, D.C., Fairfax, Washington, States, information, more, reinsurance, Canada, James Maro, February, Chicago, Senior Counsel, investment management, D.C, Contacts, Philadelphia, United, United States, SEC, institutional investors, Montague, whistleblowers",2024-02-15,149.16,0.14098690835851493
2024-02-14,"PASO ROBLES, Calif.--(BUSINESS WIRE)--Feb 14, 2024--  Pearce Services, a leading provider of engineering and operations & maintenance solutions
for the renewable energy ecosystem, electric vehicle charging infrastructure, and telecommunications markets, announced today that Michelle Edler, former Chief Operating Officer of Datavant, will join as CEO. We appreciate the foundation Bret and the team have built, and we are excited to partner with Michelle to continue Pearce's track record of high customer satisfaction, employee retention and business growth.”
  About Pearce Services
  Pearce Services is the leading national provider of operations, maintenance, and engineering services for mission-critical infrastructure. Pearce Services has a tremendous opportunity to leverage its strengths and capabilities to capture the growing demand for engineering and field services to design, maintain, and upgrade the critical infrastructure powering the North American renewables, EV, and telecom industries. Pearce has transformed from 70 employees providing field maintenance and repair to the telecommunications industry to over 3,000 employees across North America and India, with expanded service offerings that include engineering and renewable energy infrastructure operations and maintenance. Pearce offers innovative, tech-enabled services for renewable energy, electric vehicle (EV), energy storage system, and telecom infrastructure customers.",neutral,0.48,"View, Michelle Edler, innovation, GE, GE Energy, ecosystem, logistics, renewable energy, infrastructure, PASO ROBLES, Board, charging infrastructure, Business Wire, Digital Solutions, Pearce, data analytics, customer loyalty, GE Healthcare, Repair Solutions, Joe Walker, Global X-ray, Services, energy storage, Bret Forster, CEO, healthcare, https://www.businesswire.com/news/home/20240214750891/en, India, engineering, X-ray, team, Aegion, customer satisfaction, Edler, North America, Bret, telecommunications, Forster, Michelle, Datavant, energy, growth, BUSINESS WIRE, Pearce Services, ” Edler, critical infrastructure",2024-02-15,149.16,0.14098690835851493
2024-02-15,"Mio Ho, Onion Group co-founder Launches Sylph & Sexrose in Europe.   London, England, United Kingdom - February 15, 2024 —
 Onion Group co-founder and Chinese business innovator Mio Ho is expanding her entrepreneurial repertoire by introducing her fashion brand, Sylph, alongside her ventures into sexual wellness with Sexrose and Soulove in Europe.
   Ho confidently confesses to her goal of “shaking up the old ways,” and encouraging women to “embrace what they really want.”
  Guided by passion
  Inspired by former General Electric CEO Jack Welch's passion-driven business approach, Ho is determined to make a significant impact in Europe, leveraging her expertise and innovative brands to create a more empowered, sustainable, and inclusive future for women.
   In Europe, Ho hopes to extend her Chinese-based companies' values beyond fashion, sexual wellness, and workplace empowerment. She founded fashion brand Sylph along with sexual wellness marques Sexrose and Soulove to shatter stereotypes and break down barriers.",neutral,0.58,"investment management, disability, Asia, Business Insider, China, Onion, United Kingdom, NYSE, England, Company, Onion Group, brands, Sexrose, investment banking, women, eco-friendly, Jack Welch, gender equality, Europe, Beijing, Markets Insider, woman, Sylph, wheelchair, CEO, Chinese, feeling good, London, Launches Sylph, Cheung Kong, Soulove, progressive, environmental conservation, Ho, lifestyle brand, consumer culture, sustainability, General Electric, sexual education, Mio Ho, Global, expertise, sexual, MBA, THIS POST",2024-02-16,149.16,0.0
2024-02-15,"Turboexpanders power market growth thanks to efficient gas processing and energy focus. NEWARK, Del. Feb. 15, 2024 /PRNewswire/ -- According to Future Market Insights' latest industry analysis, the global market size for turboexpanders is estimated to be around US$ 1.2 billion in 2024. Key Takeaways from the Market Study
  The axial flow segment is poised to dominate the turboexpander industry with a market CAGR of 5.10%.
   Request Exclusive Sample Report: Turboexpanders Industry Strategic Insights, https://www.futuremarketinsights.com/reports/sample/rep-gb-19006
  The market for turboexpanders has been witnessing significant growth in recent years due to the increased demand for efficient natural gas processing plants, where they play a crucial role in gas processing and liquefaction. The surging demand for cryogenic applications in industries such as healthcare, food processing, and electronics is another factor driving the growth of the turboexpander market.",neutral,0.98,"Competitive Landscape, Nandini Singh, US$, MEA, Cryogenic Service, EMS, NCS, Japan, CAGR of, R&D, Request, Baker Hughes, https://www.futuremarketinsights.com/reports/sample/rep-gb-19006, ACD, Telecom Tower, Ultra Violet, Markazi Province, Air Products, Marketing, Middle East, USA, NEA, United States, EE Times, Hydraulic/Oil-brake, Power Capacity, Key Trends, niche market, Brazil, YouTube, North America, Vice President, Asia Pacific, Generator, Christiana, LED, Extensive Coverage, oil, hydrocarbon, Delaware, U.S, Logo, West, Kobelco, customer service, China, Del, Chemicals, Inc, LinkedIn, Europe, South Korea, Market Study, Website, Toshiba, Lamps, liquefaction, EMS Now, Iran, axial flow, growth, research, Siemens, Cryodynamics, Buy Now, Christiana Corporate, UV, Ken Research, Other Technologies, cryogenic, Hangyang, Howden, Lamps Market, EPR, Africa, Newark, Breaking, industry, oil refineries, core competency, MW, EPR Magazine, Mercury, Twitter, electricity, Evolve, Asia, Turboexpander, Newark, Delaware, market, Electro Chemical, divestment, emerging markets, Sulzer, Nikkiso, Latin America, news agency, Market, Service, FMI, NEWARK, Electro, Cryostar, Segmentation, turboexpanders, food processing, General Electric, Nikhil, Atlas Copco, energy, monopoly, syndicated, United Kingdom, CAGR, Nikhil Kaitwade, Key Takeaways, Suite 401, Turboexpander Market, India, sustainability, Application, turboexpander, UK, Voith, Dubai, Sales Enquiries, LNG, Energy, Loading Device, Sapphire, Explore FMI, Voith Turbo, MBA, healthcare, Mechanical Engineering",2024-02-16,149.16,0.0
2024-02-16,"(CercleFinance.com) - GE HealthCare fell back in early trading on the New York Stock Exchange on Friday morning, following a placement of shares by Morgan Stanley, at a price well below the previous day's price.
  GE HealthCare explains that Morgan Stanley plans to place around 13 million shares at a price of $82.25 per share, a discount of nearly 4% to Thursday's closing price.
   In detail, the former GE parent company plans to convert debt currently held by Morgan Stanley into GE HealthCare shares, which will then be sold on the market.
   Morgan Stanley, BofA Securities, Citigroup, Evercore ISI, Goldman Sachs and JP Morgan are to act as joint lead managers for the offering.
   At around 10:30 a.m. (local time), the diagnostic imaging equipment specialist's shares were down by nearly 1%, one of the steepest declines on the S&P 500 index.
  ",neutral,0.48,"Evercore, offering, placement, managers, shares, GE, diagnostic imaging, S&P 500, Goldman Sachs, Securities, Morgan, ISI, CercleFinance.com, Morgan Stanley, price, GE HealthCare, HealthCare, Citigroup, dollars, JP Morgan, Stanley",2024-02-17,149.16,0.0
2024-02-16,"Portland General Electric Company (PGE) is a fully integrated energy company that generates, transmits, and distributes electricity. The Company participates in the wholesale market through the purchase and sale of electricity and natural gas in an effort to obtain reasonably-priced power to serve its retail customers. The Company is engaged in the generation, wholesale purchase, transmission, distribution, and retail sale of electricity in the state of Oregon. The Company meets its retail load requirement with both Company-owned generation and power purchased on the wholesale market. The Company owns and operates two wind farms, Biglow Canyon Wind Farm (Biglow Canyon) and Tucannon River Wind Farm (Tucannon River).",neutral,0.87,"The Company, natural, Tucannon River, Oregon, natural gas, Biglow Canyon, River, Carty, wind farms, electricity, Company, Beaver, Earnings Call, Electric, Electric Company, wholesale, sale, retail, Washington, energy, Sherman County",2024-02-17,149.16,0.0
2024-02-17,"Westinghouse is set to deploy the UK's first privately funded fleet of small modular nuclear reactors in a deal with Community Nuclear Power Ltd., the country's only independent developer of the advanced nuclear power technology

The agreement is for developing four SMRs in northeast England using the Westinghouse AP300 design. At completion, projects would also be Britain's first deployment of next-generation nuclear technology, the first construction of the AP300 design and the first privately-funded SMR deployment in Europe, said Community Nuclear Power.

 “The project brings together Westinghouse’s proven technology and mature supply chain with our depth of expertise in nuclear program delivery in a region that is transforming its industrial landscape.” said Paul Foster, Community Nuclear Power CEO.





 The AP300 was one of six designs selected to progress in the UK’s competition to support development of small modular reactors to revive nuclear power in the country.

 “Our plans will give investors the confidence to back new UK projects, with a simpler process and clear support for private sector companies developing innovative new technologies,” Nuclear Minister Andrew Bowie said.

",neutral,0.49,"EDF, Rolls Royce, green energy, uranium, Power, Europe, SMR, China, nuclear technology, Designs, project, Westinghouse, nuclear power, U.K, Generation III+, government, independent developer, U.K., renewable energy, Westinghouse AP1000, chemical hub, UK, financial advisor, supply chain, England, AREVA, AP300, Claire Coutinho, U.S, Community Nuclear, gigawatt, design, Community, GNI, CEO, technology, Russia, engineering, Britain, Deal Set, UK government, HALEU, Jacobs Solutions, nuclear, Interpath Advisory, EPR, Paul Foster, Rolls-Royce SMR, State, nuclear energy, Hitachi-GE, France, Nuclear, GW, Rolls-Royce, ABWR, AP1000",2024-02-18,149.16,0.0
2024-02-17,"It's here. Samsung 65-inch S90C OLED TV: was $2,099.99 now $1,599.99 at Best Buy

The Samsung S90C OLED is TechRadar's best TV of the year, and Best Buy has the 65-inch model on sale for a record-low price of $1,599.99. MacBook Air 13-inch (M1, 2020): was $999.99 now $749.99 at Amazon

The 2020 Apple MacBook Air with an M1 chip is still one of the best laptops ever made, and Best Buy has the laptop on sale for a record-low price of $749.99. TCL 65-inch S4 S-Class 4K UHD HDR LED Smart TV: was $529.99 now $379.99 at Best Buy

Another fantastic big-screen budget TV deal is this TCL 65-inch 4K smart TV on sale for just $379.99 at Best Buy. Samsung 75-inch 4K Smart Tizen TV (2022): was $749.99 now $549.99 at Best Buy

This Samsung Crystal 4K smart TV is a Best Buy top-seller, and the retailer has the 75-inch model on sale for an incredible price of $549.99.",neutral,1,"major appliances, SiP, Core i3, 64GB, S4 S-Class, microwaves, AMD, wireless, display, Apple Watch, Asus, headphones, Insignia, A14, Sony, M1, XM5, HP, Chromebook, SSD, IdeaPad, chipset, OLED, Dolby Vision, 4K, Lenovo, Best, α5, Amazon Alexa, Fire TV, GPS, The Ring, DTS Virtual, battery, inch, web browsing, smartwatch, A13, Quantum Dot, laptop, XM4, Crystal 4, earbuds, slate, tablets, Chromecast, Bionic, Echo, smart TV, Alpha9, Best Buy, star, Asus Vivobook, TCL, Galaxy Tab, Alpha, ECG, 4K resolution, temperature sensor, S9, Whirlpool, LG, LED, Samsung QN85C, sale, HDMI, Alexa, GE, price, RAM, AI, HDR, iPad 10.9, F20 Series, Windows, S-Class, Liquid Retina, HP Chromebook, Samsung, spreadsheet, Ring, motion detection, (M2), HP 15, 65-inch 4K, Core, Named, M2, streaming media, Smart TV, XM3, LG A2, USB, A14 Bionic, MacBook Air, Fire OS, best, Dolby Atmos, 4K UHD, Gaming Hub, iPads, Apple, dashboard, Apple iPad, iPad, TechRadar, Sony WH-1000XM5, Toshiba, Ryzen 7, Retina display, Retina, Amazon",2024-02-18,149.16,0.0
