Publication Date,Summary,Sentiment Polarity,Sentiment Confidence,Keywords,stock_date,stock_price,percentage_change
2023-09-16,"Google was accused of being able to ""profile"" people and target them with advertising even if they turned off their ""Location History"" setting.
  Last year, Google agreed to pay $391.5 million to resolve similar allegations
   California:
  Google agreed to pay $155 million to settle claims by California and private plaintiffs that the search engine company misled consumers about how it tracks their locations, and used their data without consent. ""That's unacceptable.""
  The California settlement requires Google to pay $93 million, and disclose more about how it tracks people's whereabouts and uses data it collects.
   Money from Google's $62 million settlement with private plaintiffs would, after deducting legal fees, go to court-approved nonprofit groups that track internet privacy concerns.
   Both settlements resolve claims that the Alphabet Inc unit deceived people into believing they maintained control over how Google collected and used their personal data.
  ",negative,0.82,"Arizona, Mountain View, NDTV, plaintiffs, data, Google, U.S, Rob Bonta, Alphabet Inc, accounting, search engine, nonprofit, company, settlement, personal data, Washington, California, people, syndicated, private, Money, Lawyers, settlements, Google Asked",2023-09-17,138.21,1.1712173340165393
2023-09-16,"Alphabet Inc.'s Google can't invoke claims of bias by a top US Justice Department official in defending itself against a government lawsuit claiming the company maintains a monopoly in the market for online advertising technology, a federal judge ruled. Alphabet Inc.'s Google can't invoke claims of bias by a top US Justice Department official in defending itself against a government lawsuit claiming the company maintains a monopoly in the market for online advertising technology, a federal judge ruled. The ruling Friday by US District Judge Leonie Brinkema in Virginia is a blow for Google's attempts to discredit the Biden administration's top antitrust officials – Kanter and Federal Trade Commission Chair Lina Khan – who have been pushing to...
  The ruling Friday by US District Judge Leonie Brinkema in Virginia is a blow for Google's attempts to discredit the Biden administration's top antitrust officials – Kanter and Federal Trade Commission Chair Lina Khan – who have been pushing to limit the power of big technology companies. Google faces a separate DOJ lawsuit claiming it operates a monopoly in online search. In late August, Google contended in a filing that Kanter's alleged bias “shaped and infected this entire proceeding, and reflects an improper predisposition to find against Google, rather than ensure that justice is done.”",neutral,0.55,"Virginia, Brinkema, online advertising, antitrust, Justice Department, DOJ, Google, law firm, Weiss, monopoly, Alphabet Inc, Wharton, Kanter, case, Google Barred, Paul, ruling, Alphabet Inc., Paul Weiss, US, Garrison LLP, Rifkind, Leonie Brinkema, Biden",2023-09-17,138.21,1.1712173340165393
2023-09-16,"Other institutional investors and hedge funds have also made changes to their positions in the company.
 Spreng Capital Management Inc. now owns 131 shares of the information services provider’s stock worth $364,000 after buying an additional 5 shares during the last quarter. Maple Capital Management Inc. now owns 296 shares of the information services provider’s stock worth $823,000 after buying an additional 6 shares during the last quarter. Weik Capital Management now owns 1,533 shares of the information services provider’s stock worth $4,264,000 after buying an additional 8 shares during the last quarter. West Family Investments Inc. now owns 1,754 shares of the information services provider’s stock worth $4,878,000 after buying an additional 6 shares during the last quarter.",neutral,0.91,"The firm, Africa, Google, MarketBeat, SEC, hedge funds, company, hyperlink, Europe, equity, Google Cloud, Asia-Pacific, LLC, earnings, 1-year, Gmail, Google Drive, Stifel Nicolaus, GOOGL, United States, NASDAQ, Wolfe Research, L.L.C. Gv, Alphabet, price, Alphabet Inc, price-to-earnings ratio, stock, Latin America, market capitalization, Goldman Sachs, YouTube, Canada, Alphabet Inc., PEG, Middle East, Google Play, institutional investors, moving average, “Moderate Buy, July, EPS, shares, Android, Search, Chrome, Google Photos, average, Google Maps, Google Services, analysts",2023-09-17,138.21,1.1712173340165393
2023-09-16,"M&R Capital Management Inc. raised its position in shares of Alphabet Inc. ( NASDAQ:GOOG – Free Report ) by 0.3% in the second quarter, according
to its most recent 13F filing with the Securities and Exchange Commission (SEC). Geode Capital Management LLC now owns 97,481,034 shares of the information services provider’s stock valued at $8,631,760,000 after acquiring an additional 988,569 shares in the last quarter. BlackRock Inc. now owns 365,927,668 shares of the information services provider’s stock valued at $38,056,478,000 after acquiring an additional 1,230,697 shares in the last quarter. Moneta Group Investment Advisors LLC now owns 130,046,253 shares of the information services provider’s stock valued at $11,539,004,000 after acquiring an additional 129,835,437 shares in the last quarter. In other Alphabet news, major shareholder 2019 Gp L.L.C. Gv sold 37,405 shares of Alphabet stock in a transaction on Tuesday, June 20th.",neutral,0.94,"LLC, price, Oppenheimer, Canada, institutional investor, MarketBeat, Alphabet, United States, Google Maps, Wedbush, YouTube, GOOG, ratings, Search, MarketBeat.com, Alphabet Inc., L.L.C. Gv, hyperlink, Africa, Chrome, Alphabet Inc, stake, Google Photos, Susquehanna, Middle East, NASDAQ, BlackRock Inc, SEC, Google Play, 1.58, P/E, Google, Latin America, Alphabet, market cap, Android, Inc., stock, Morgan Stanley, other, institutional investors, HoldingsChannel.com, Asia-Pacific, Geode, The firm, analysts, Google Services, Wall Street, Europe, Gmail, Google Drive, JPMorgan Chase, BlackRock Inc., price-to-earnings ratio, Google Cloud, hedge funds, shares",2023-09-17,138.21,1.1712173340165393
2023-09-18,"One of the defining relationships in modern Silicon Valley is the interaction between Apple and Google. Since 2005, Google has paid Apple billions of dollars to be the default search engine on its Safari web browser, a deal that's brought the two trillion-dollar corporations together in ways that have raised eyebrows in Washington. First forged 18 years ago, it made Google Apple's default search engine, while giving Apple as much as a 50% share of the ad revenue Google made from searches by users of Apple's Safari browser. That message is part of a trove of potentially damning internal communications coming to light as part of the US Department of Justice's antitrust case against Alphabet Inc.'s Google, where the government accuses the search giant of freezing out competitors through deals like the one it has with Apple. When Apple and Google renegotiated their deal in 2016, the amended agreement expanded use of Alphabet's search engine to Siri—which had been using Microsoft's Bing—and Spotlight, a search feature to find programs and files on Apple devices.",neutral,0.79,"Bing, Google, Justice, Washington, Netscape, time, Kent, Amazon.com Inc., Microsoft Corp, Lina Khan, Sundar Pichai, search engine, Android, Cue, Yahoo! Inc, default, Amazon.com Inc, search, Tim Cook, organ, Sprint, Yahoo!, consumer behavior, Google Apple, Walker, cereal, Alphabet Inc, Eric Johnson, Kent Walker, YouTube, Bing—and, Mozilla, Safari, company, Google Maps, iPhone, Department, Windows, antitrust, Bloomberg, smartphone, —Apple Inc, thermonuclear war, Facebook, monopoly, operating system, Mobile, wireless, Yahoo, philosophy, Johnson, Verizon, Google Search, iOS, Justice Department, Explorer, Allensworth, Alphabet, US, Apple, Firefox, deal, T-Mobile, monopolization, Internet Explorer, Silicon Valley, Sanford, Steve Jobs, securities, Eddy Cue, Alphabet Inc., nonprofit organization, co-opetition, CEO, FTC, Microsoft, AT&T",2023-09-19,133.74,-3.1431054461181946
2023-09-17,"Founders Capital Management cut its stake in shares of Alphabet Inc. ( NASDAQ:GOOGL – Free Report ) by 8.2% during the 2nd quarter, according to its
most recent 13F filing with the Securities and Exchange Commission. Insider Buying and Selling at Alphabet In other Alphabet news, insider John Kent Walker sold 42,900 shares of the company’s stock in a transaction dated Tuesday, September 5th. Vanguard Group Inc. now owns 477,035,902 shares of the information services provider’s stock worth $45,628,484,000 after buying an additional 453,413,389 shares during the period. Moneta Group Investment Advisors LLC now owns 170,420,243 shares of the information services provider’s stock worth $15,036,178,000 after buying an additional 170,267,122 shares during the period. State Street Corp now owns 217,154,306 shares of the information services provider’s stock worth $20,770,809,000 after buying an additional 206,300,042 shares during the period.",neutral,0.49,"United States, SEC, Europe, Asia-Pacific, Search, EPS, stock, Google Services, About Alphabet, hedge funds, Report, moving average, Google Cloud, quarter, Norges Bank, other, Gmail, Alphabet, hyperlink, Alphabet Inc, LLC, institutional investors, Insider Buying, Inc., PEG, Middle East, HoldingsChannel.com, Vanguard Group, MarketBeat.com, market cap, P/E ratio, Google Maps, L.L.C. Gv, equity, Alphabet Inc., Africa, Google Photos, Latin America, stake, The firm, Google Play, GOOGL, ratings, Google, Chrome, YouTube, Canada, NASDAQ, Google Drive, shares, Android",2023-09-18,138.04,0.4511715907437088
2023-09-19,"Taleeb Noormohamed represents Vancouver Granville as a Liberal MP | Dan Toulgoet

One of the newest parliamentary secretaries appointed by Prime Minister Justin Trudeau could find himself very busy divesting from dozens of stocks.

 Under Part II of the Conflict of Interest Act, public office holders including parliamentary secretaries must: Recuse from discussions, debates or votes where they would be in a conflict of interest; file confidential disclosure reports detailing assets, liabilities, income and gifts received; file public declarations detailing certain kinds of assets, liabilities and gifts received; and divest certain kinds of assets – such as publicly traded shares – by selling them at arm’s length or putting them in a blind trust.

 Among Noormohamed’s 67 public company holdings, reported last month to the Office of the Conflict of Interest and Ethics Commissioner, are big tech and media companies that fall under the regulation of Canadian Heritage, including Alphabet Inc., Amazon.com Inc., Apple Inc., Comcast Corp., Meta Platforms Inc., Microsoft Corp., Netflix Inc. and Telus Corp.

 Vancouver Granville Liberal MP Taleeb Noormohamed was named parliamentary secretary to Canadian Heritage Minister Pascale St-Onge on Friday.

 His Aug. 17 summary on the Office of the Conflict of Interest and Ethics Commissioner’s website mentions nominal interest in real estate developer Immeubles Q-Mont (II) Industrial Properties L.P., sole ownership of rental properties in Vancouver, sums owed under two loan agreements and a personal loan receivable from an unnamed individual, stock options in e-commerce company Farfetch Ltd. and undisclosed quantities of the cryptocurrencies bitcoin, ethereal and stacks.

",neutral,0.76,"Immeubles Q-Mont, parliamentary, bitcoin, Inc., company, Ottawa, Interest, Telus Corp, Pascale St-Onge, Anjali Appadurai, Alphabet Inc., Bill C-18, Taleeb Noormohamed, Telus, Vancouver, Apple Inc., Amazon.com Inc, public company, Michael Chong, disinformation, Conflict, ADR, Conservative, public, China, e-commerce, Netflix, Walmart, social media, secretaries, Canadian Heritage, Comcast Corp, Vancouver Granville, Liberal, real estate, Alphabet Inc, Doordash Inc, cryptocurrencies, stock options, Farfetch Ltd, NDP, Amazon.com Inc., Merck, Facebook, WeChat, Mondelez International, MP, parliamentary secretary, Comcast, Prime Minister, DemocracyWatch, But Conacher, Justin Trudeau, big pharma, Conacher, Diageo Plc, misnomer, Diageo, parliamentary secretaries, Meta, Duff Conacher, blind trust, AstraZeneca PLC, Canadian, Internet, Nestle, Dan Toulgoet, Apple Inc, trustee, Chinese, Noormohamed, Netflix Inc, exchange-traded fund, Instagram, Microsoft Corp, Kraneshares CSO, Microsoft",2023-09-20,130.44,-0.7608034083992696
2023-09-19,"✕  Close  Russell Brand awkward interview moments
 Russell Brand's final tour dates have been postponed as the Metropolitan Police has received a report of an alleged sexual assault in Soho in 2003 following a number of accusations that have been made against the comedian.
   She added: “There's been action taken to stop use of NDAs in universities and perhaps this instance with Russell Brand, if there are non-disclosure agreements involved, would indicate we need to take the same action to outlaw their use across… the entertainment industry too.”
  Tara Cobham18 September 2023 21:07
   Recap: Brand's publisher ‘pauses' future book projects
  Russell Brand's publisher announced it is “pausing” all future book projects with the comedian after allegations of sexual assault were made against him.
   Russell Brand allegations are ‘shocking and criminal'
  Tara Cobham19 September 2023 01:00
   Editorial: YouTube, X and Google must consider decisions on Brand
  Russell Brand has 6.61 million subscribers on YouTube, which is about the same number as he had before the latest allegations about rape, sexual assault and emotional abuse became public.
   Dorothy Byrne told Channel 4 News: “Historically there has been a culture in television of putting up with appalling behaviour by some men on the basis they are so-called stars.”
  Tara Cobham18 September 2023 21:14
   Former culture secretary calls for outlawing NDAs if used over Brand allegations
  Dame Maria Miller MP, former culture secretary and women's minister, suggested non-disclosure agreements should be outlawed in the entertainment industry if they have been used to silence people over alleged incidents involving Russell Brand.
   For many reasons, says psychologist Dr Jessica Taylor – and it's got nothing to do with fame or money
  Jessica Taylor18 September 2023 20:00
   Kristen Bell comments about Brand resurface after sex abuse allegations
  Shortly after the release of “Forgetting Sarah Marshall,” Kristen Bell told interviewers that she had to “intimidate” her co-star Russell Brand to make sure he understood she was not interested in a sexual relationship with him during the shoot.
  ",neutral,0.83,"Katie, The Independent, Russell, Katy Perry, people, Brand, MP, The comedian, Soho, imprint, emotional abuse, Alphabet Inc, Anything, Ant, women, manager, rape, seal, comedian, theatre, sexual assault, United States, Maria Miller, Dorothy Byrne, ITV, Sunday Times, Times, Independent, Bell, Google, Sarah Marshall, Recap, mentally ill, YouTube, Recap: Brand, text message, Dispatches, Metropolitan Police, non-disclosure agreements, adulation, sexual, Shortly, Perry, American Vogue, Katie Rosseinsky, Met, Tara, Caroline Nokes, Jessica Taylor, future publishing, psychologist, The Times, Channel 4, sexually assaulted, Hollywood, Kristen Bell, Pan Macmillan, September, addiction, Sky News, stand-up comedian, minister, NewerOlder, Russell Brand, social media, outlaw, Bluebird, Graig Graziosi, news agency, Ron Brand, BBC, allegations, Jessica, Be Helped, peak",2023-09-20,130.44,-0.7608034083992696
2023-09-20,"NEW YORK, Sept. 19, 2023 /PRNewswire/ -- The ""home Wi-Fi router market by type (fixed Wi-Fi router and mobile Wi-Fi router), distribution channel (offline and online), and geography (North America, APAC, Europe, South America, and Middle East and Africa) - Forecast and Analysis 2023-2027"" report has been added to Technavio offering. Home Wi-Fi Router Market Scope Report Coverage Details Base year 2022 Historic period 2017-2021 Forecast period 2023-2027 Growth momentum & CAGR Accelerate at a CAGR of 10.4% Market growth 2023-2027 USD 2.21 billion Market structure Fragmented YoY growth 2022-2023 (%) 9.66 Regional analysis North America, APAC, Europe, South America, and Middle East and Africa Performing market contribution APAC at 37% Key countries US, China, India, Japan, and Germany Competitive landscape Leading Companies, Market Positioning of Companies, Competitive Strategies, and Industry Risks Key companies profiled Actiontec Electronics Inc., Alphabet Inc., Amped Wireless, ASUSTeK Computer Inc., Cisco Systems Inc., devolo AG, D Link Corp., Hon Hai Precision Industry Co. Ltd., Huawei Technologies Co. Ltd., Intel Corp., Legrand SA, Netgear Inc., Nokia Corp., Samsung Electronics Co. Ltd., Shenzhen Tenda Technology Co. Ltd., TP Link Corp. Ltd., Ubiquiti Inc., Unizyx Holding Corp., Verizon Communications Inc., and Read FREE Sample PDF Report Now

The home Wi-Fi router market is segmented by type (fixed Wi-Fi router and mobile Wi-Fi router), distribution channel (offline and online), and geography (North America, APAC, Europe, South America, and the Middle East and Africa).

 This wireless chipset market report extensively covers market segmentation by application (computers and laptops, smartphones and wearable, routers, in-vehicle infotainment systems, and others), type (Wi-Fi chipsets, wireless display/video chipsets, WiMAX chipsets, LTE chipsets, and ZigBee chipsets), and geography (APAC, North America, Europe, Middle East and Africa, and South America). This Wi-Fi chipset market report extensively covers market segmentation by type (dual-band, tri-band, and single-band), application (consumer devices, smart home devices, gaming devices, drones, and others), and geography (APAC, North America, Europe, South America, and Middle East and Africa).",neutral,0.95,"Samsung Electronics, market, Amazon, Alphabet Inc, analysis, North America, Hon Hai, AG, Netgear Inc, China, LTE, Germany, ISO 9001:2015, Cisco Systems, CAGR, ZTE Corp, HDR, Nokia Corp, drones, Learn, ToC, Website, market segmentation, Fragmented YoY, Western Europe, Alphabet Inc., Technavio, CAGR Accelerate, market share, Netgear, Shenzhen, e-learning, Netflix, Germany Competitive, Wi-Fi, Wi-Fi routers, Middle East, USD, Market Segmentation, HD, wireless, Huawei Technologies, Accelerate, Home Wi-Fi, Europe, Intel Corp, Now, Africa, Competitive Strategies, Ubiquiti Inc, View, Amazon.com, Inc, Key Companies, Nokia, Tenda, content, Amazon.com, Inc., report, growth, Japan, Wi, router, SOURCE Technavio, India, ZTE, NEW YORK, Advanced WiFI, Intel, Internet, South America, ASUSTeK, Email, Market structure, Market, Fixed Wi-Fi, routers, chipset, Inc., Verizon Communications, US, emerging market, Amped Wireless, smartphones, UK, air, WI, Legrand SA, WiMAX, Fortune 500",2023-09-21,130.25,-0.39002753135514756
2023-09-20,"Microsoft Corp. is narrowing the gap with Apple Inc. in the stock market as investors see better growth and far less China risk in the software giant.
  Microsoft Windows Takes Subtle Approach to Adding AI: Tech Daily
  Apple is coming off three straight quarters with negative revenue growth, and a fourth — as analysts expect to see — would represent its longest streak in two decades. China's Apple iPhone Ban Appears to Be Retaliation, US Says
  “Consistency is worth a lot when considering a company's valuation, and Microsoft, because of its consistency and projected growth rate, has an advantage over Apple right now,” said Tim Ghriskey, senior portfolio strategist at Ingalls & Snyder. Nearly 90% of Microsoft analysts recommend buying the stock, compared with under two-thirds for Apple.
  While neither stock scans as particularly cheap, Microsoft's growth outlook may make its valuation of 29 times estimated earnings easier to justify. While that's expected to turn positive in Apple's 2024 fiscal year and continue growing in the subsequent two years, the rate isn't expected to be nearly as robust as that of Microsoft, according to data compiled by Bloomberg
  The iPhone maker is “looking like the old IBM ,” wrote Toni Sacconaghi, an analyst at Bernstein.",neutral,0.49,"Redmond, Congress, Alphabet Inc, bear, Microsoft Corp, Premarket Endava, China, Nvidia, cloud, Nasdaq, Windows, Wall Street, Apple, David Klink, Google News, ratings, Alphabet Inc., Apple Inc, Google, IBM, Amazon.com Inc, OpenAI, Toni Sacconaghi, Taiwan, stock market, AI, market cap, mid-cap, GitHub, World, Twitter, Governor, Huawei Technologies, Tech Daily, cloud computing, YouTube, software development, Microsoft Windows, Apple Inc., company, Amazon.com Inc., bull, chips, Bloomberg, cybersecurity, crown, Rosenblatt Securities, growth, fiscal year, revenue, Brad Smith, Facebook, S&P 500, Huntington, Eyes Apple, equity analyst, President, iPhone, Tim Ghriskey, Senator, Tech, mainframes, Ted Cruz, Instagram, artificial intelligence, Taipei, US, flareup, Corp., ChatGPT, Microsoft, peak, Grocery delivery, Nvidia Corp, Washington, small-cap, iPhones, Katie Hobbs, Subtle Approach, antitrust, divergence, Needham, Arizona",2023-09-21,130.25,-0.39002753135514756
