Publication Date,Summary,Sentiment Polarity,Sentiment Confidence,Keywords,stock_date,stock_price,percentage_change
2024-02-13,"NEW YORK (AP) — People stand in front of an electronic stock board showing Japan's Nikkei 225 index at a securities firm Tuesday, Feb. 13, 2024, in Tokyo. A person walks in front of an electronic stock board showing Japan's Nikkei 225 index at a securities firm Tuesday, Feb. 13, 2024, in Tokyo. People stand in front of an electronic stock board showing Japan's Nikkei 225 index at a securities firm Tuesday, Feb. 13, 2024, in Tokyo. A person walks in front of an electronic stock board showing Japan's Nikkei 225 index at a securities firm Tuesday, Feb. 13, 2024, in Tokyo.",neutral,0.96,"Morgan Stanley, Critics, Updated, Yuri Kageyama, Wall Street, penciling, NEW YORK, New York, Alexandra Wilson-Elizondo, economy, E-Trade, nail, U.S, Fed, Amazon, Federal Reserve, wipeout, forecasting, Moody, Kospi, 9 mins, South Korea, parade, peak, stake, Wall, snow, Japan, Russell 2000, Microsoft, Tokyo, Halloween, cuts, Carl Icahn, high, Asian, Chris Larkin, inflation, S&P 500, securities, CME Group, JetBlue Airways, Nasdaq composite, AP, interest, Nikkei 225, Nasdaq, Treasury, toy, interest rate, Arista Networks, swing, Eastern time, Street, rates, Asia, Goldman Sachs, Associated Press, Hasbro, stock, recession, airline, AP Business, bond market, Europe, China",2024-02-14,406.56,-0.38712206595775567
2024-02-13,"MILPITAS, CA / ACCESSWIRE / February 13, 2024 / Altigen Communications, Inc. (also known as Altigen Technologies) (OTCQB:ATGN), a leading Silicon
Valley-based Microsoft Cloud Communications Solutions provider today announced it will report its first quarter fiscal year 2024 financial results after the close of regular market trading on Thursday, February 22, 2024. Thursday, February 22, 2024 at 2:00 p.m. Pacific Time (5:00 p.m. ET)
  Dial In:
  Toll-Free: 888-506-0062
  International: 973-528-0011
  Participant Access Code: 924003
  Webcast: https://www.webcaster4.com/Webcast/Page/2183/49956
  Replay:
  Toll-Free: 877-481-4010
  International: 919-882-2331
  Replay Passcode: 49956
  About Altigen Technologies
  Altigen Technologies (OTCQB: ATGN) is focused on driving digital transformation in today's modern workplace.   Altigen Technologies
  View the original press release on accesswire.com
  ACCESSWIRE
  ACCESSWIRE is a premier news and communications network, providing regional, national, and global news to hundreds of clients globally. For more information, call 1-888-ALTIGEN or visit our website at www.altigen.com
  Contact:
  Carolyn David
  Vice President of Finance
  Altigen Communications, Inc.
   ir@altigen.com
  SOURCE: What: Altigen First Quarter Fiscal Year 2024 Conference Call and Webcast
  When:",neutral,0.87,"OTCQB, Finance, Cloud, Altigen Communications, Altigen, Replay Passcode, customer engagement, MILPITAS, global news, Silicon
Valley, Inc, conference call, news, ET, Altigen Technologies, Microsoft, Carolyn, today, ACCESSWIRE, ACCESSWIRE
  ACCESSWIRE, Vice President, Technology Consulting, engagement, results, David, Webcast, The Company, Toll-Free, fiscal year, Communications, Silicon Valley, Cloud Communications, Contact, network, Time, February, MILPITAS, CA",2024-02-14,406.56,-0.38712206595775567
2024-02-14,"Virtual Oncology Market Predicted to Reach USD 11,156.2 Million by 2030 | Amwell, Teladoc, Zoom Video

Global Virtual Oncology Market, 2023 - 2030

https://www.congruencemarketinsights.com/report/virtual-oncology-market?section=Request

https://www.congruencemarketinsights.com/buy-now/104/1

https://www.congruencemarketinsights.com/reports/all-industries

https://www.congruencemarketinsights.com/report/mycoplasma-testing-market

https://www.congruencemarketinsights.com/report/trocars-market

The latest report by Congruence Market Insights, titled 'Global Virtual Oncology Market - Size, Trends, Share, Growth, Dynamics, Competition, and Opportunity Forecast, 2023 - 2030,' provides an in-depth analysis of the global virtual oncology market. Competition Landscape► Company ProfilesVirtual Oncology Market Size and Forecast:The report will comprehensively detail the virtual oncology market size and forecast (2023-2030), presenting key metrics for strategic insights. Buy Now @How does AI impact the global Virtual Oncology market?AI plays a significant role in the global virtual oncology market by enabling advanced cancer diagnostics, treatment planning, and patient management through data-driven insights and predictive analytics. Additionally, the report highlights the impact of crucial events such as technological advancements in telemedicine, increasing adoption of virtual care solutions in oncology, and rising cancer prevalence worldwide on the virtual oncology market landscape.",neutral,1,"healthcare, telemedicine, GCC, market, Elekta, Siemens Healthineers, Colorectal Cancer, data privacy, Request, Amwell, Breast Cancer, Clinical Trials, oncology, Trends, IBM Watson, Veeva Systems, Oncology, Market Segmentation, China, South Korea, Italy, NCI, predictive analytics, Japan, artificial intelligence, Brazil, U.K, Argentina, South Africa, IBM, Hardware, Regulatory Compliance, Germany, cancer care, Opportunities, USD, such, Freenome, U.S, End-User, Healthcare, Pancreatic, Ovarian, Opportunity Forecast, United StatesPhone, symptom, virtual, Cancer, CancerCare.org, Asia, Flatiron Health, pharmaceutical companies, market share, ManagerCongruence Market, algorithm, forecasting, Asia Pacific, Precision Medicine, South America, care, Virtual Oncology, macro, AI, LLS, consumer behavior, Mexico, Forecast, COVID-19, InsightsPalo Alto, Medidata Solutions, tumor, Canada, https://www.congruencemarketinsights.com/report/virtual-oncology-market?section=Request

https://www.congruencemarketinsights.com/buy-now/104/1, Mycoplasma, Challenges, Scope, Google AI, Lung Cancer, aerospace, North America, Prostate Cancer, PatientKeeper, India, Liver Cancer, Mexico∆ Europe, France, Middle East, Southeast Asia, ► Porter, agriculture, PAREXEL, Microsoft Azure, SWOT Analysis, Shalaka, cancer, Google, CAGR, Spain, Teladoc Health, U.K., Zoom, supply-side, Europe, Latin America, Paige, interoperability, OncoHealth, Market, Bladder Cancer, Africa, insights, Us, regulatory compliance, Philips, Buy Now, Software, Service, Rest",2024-02-15,404.06,-0.9559760760858852
2024-02-14,"By Amanda Kavanagh

It feels like we’ve been ruminating over tech layoffs for a long time now, but the onslaught keeps on coming. Alongside layoffs, Mike Ybarra, the Activision Blizzard president for the last two decades has left, and the production of its brand-new survival game Odyssey has been halted.

 For non-technical roles, a pivot is more straightforward, while engineers interested in game dev would do well to upskill or refresh their knowledge of C++, C#, JavaScript, Swift, Java, Lua and Python. To that end, the sports entertainment brand is hiring into roles across the board from engineers to artists and analysts. Netflix

As Netflix amps up its push into gaming, the organization is hiring into a number of roles mostly in California, but with many remote too.",neutral,0.64,"growth, Amazon, onslaught, Crash Bandicoot, division, dev, New Zoo, layoffs, Blizzard, Python, Lua, CPU, Xbox Teams, Spider-Man 2, GPU, Mike Ybarra, next, sports entertainment, Odyssey, mobile games, Netflix, consumer spending, M&A, Tech. Entertainment, Aside, tech, Global Games, AI, Xbox, Add, Find, Andrew Wilson, pandemic, EA Sports, JavaScript, Layoffs.fyi, Google, engineers, CAGR, Java, Swift, Science, engineering, Activision Blizzard, California, Microsoft, NVIDIA, conservative, industry, parallel computing, CEO, Wayfair, accounting, C, games, ZeniMax, Warcraft, gaming, PC gaming, Vroom, Salesforce, C#, roles, eBay, SOC, Privacy Notice, Amanda Kavanagh, Starfield, PayPal, SAP, survival game, Zelda",2024-02-15,404.06,-0.9559760760858852
2024-02-15,"Microsoft and ChatGPT maker OpenAI say that hackers are using the chatbot to improve their cyberattacks.
 ",neutral,0.86,"hackers, Iran, companies, chatbot, OpenAI, Microsoft, China, Korea, cyberattacks, Russia, North, ChatGPT, North Korea, attempts",2024-02-16,404.06,0.0
2024-02-15,"By Smartprix Staff • Updated On 15 Feb 2024   Click on the “Claim” button.
  7. However, the only criteria for the free Xbox Game Pass Ultimate is that you must have a Microsoft account that hasn't been used to redeem a gaming pass in the past.
   3. Open Library through the button at the bottom left corner.
   However, if you've recently got a new Windows 11 gaming PC, there's a good chance that there's a free Microsoft Xbox Game Pass included with the machine, and you probably don't even know about it.
  ",neutral,0.62,"anti-virus, Pass Ultimate, Rs, Open Library, Instagram, Windows, Ultimate, Sometimes, screen, Facebook, Twitter, PC, Xbox, PowerPoint, MS Word, Related Articles, Windows 11, Smartprix Staff, gaming, Pass, Microsoft, Windows PC, Steps, free, Microsoft Store, Updated, Google News, access, Microsoft account, Discuss, New Gaming",2024-02-16,404.06,0.0
2024-02-16,"Sign up to our free weekly IndyTech newsletter delivered straight to your inbox Sign up to our free IndyTech newsletter Please enter a valid email address Please enter a valid email address SIGN UP I would like to be emailed about offers, events and updates from The Independent. At first that will see several exclusive Xbox games will be soon making their way to rival consoles, the video gaming brand and its parent company, Microsoft.

 Revenue for Microsoft’s Windows-led personal computing business, which includes Xbox games and services, already grew 19% to 16.89 billion US dollars (£!3.4 billion) in the fourth quarter of 2023 - largely reflecting Activision Blizzard’s impact.

 On Thursday, Xbox president Sarah Bond announced that the first Activision Blizzard game on Xbox Game Pass will be Diablo IV, starting March 28.

 The demo was sent to staff before a special edition of the Official Xbox Podcast, in which Microsoft Gaming CEO Phil Spencer confirmed that four Xbox games will no longer be exclusive.

",neutral,0.67,"While Microsoft, Makers, games, Game Pass, Diablo, Verge, Sarah Bond, companies, Diablo IV, company, Overwatch, Bond, Xbox, video, Netflix, Phil Spencer, gaming, Bethesda, Activision, The Independent, privacy, Starfield, Revenue, Nintendo, Activision Blizzard, Microsoft, Mr Spencer, The tech, Washington, Spencer, Indiana Jones, cloud gaming, video game, antitrust, IndyTech, personal computing, Windows, smaller titles, exclusive, Redmond, PlayStation, Nintendo Switch, Blizzard, CEO",2024-02-17,404.06,0.0
2024-02-16,"Xbox Controllers  Microsoft is slowly starting to break down the barriers of console exclusivity by bringing four Xbox-exclusive games to other platforms.
 Advertisement
  “Two of the other games are smaller games that were never really meant to be built as kind of platform exclusives and all the fanfare that goes around that, but games that our teams really wanted to go build that we love supporting creative endeavors across our studios regardless of size.”
  Hi-Fi Rush was a surprise hit last year that was released on Xbox and PC right after its announcement, and evidence suggests that it was in development before Tango Gameworks was acquired by Microsoft. Hi-Fi Rush, Pentiment, Sea of Thieves and Grounded are currently available on PC and Xbox consoles, along with being on Xbox Game Pass. Both games have been on the Xbox platform for many years now, and increasing their player base with other platforms would lead to a healthier ecosystem for the service-based nature of these titles.
   “A couple of the games are community-driven games, new games, kind of first iterations of a franchise that have reached their full potential, let's say on Xbox and PC,” said Spencer on the Xbox Podcast.",positive,0.44,"ecosystem, games, Obsidian Entertainment, Verge, PS5, Xbox, Phil Spencer, podcast, The Verge, privacy, Pentiment, Starfield, Fi Rush, Microsoft, Rush, bill, Spencer, Indiana Jones, Xbox Podcast, other, Thieves, PC, Tango Gameworks, PlayStation, Nintendo Switch, CEO",2024-02-17,404.06,0.0
2024-02-17,"Google said Gemini 1.5 Pro, which is the first Gemini 1.5, achieves comparable quality to 1.0 Ultra while using less computations. “The model delivers dramatically enhanced performance, with a breakthrough in long-context understanding across modalities,” the company said in a blog post on Thursday.
  US-based AI research company OpenAI on Thursday unveiled its text-to-video AI model named Sora, which can generate videos up to a minute long while maintaining visual quality and adherence to the user’s prompt. Pichai said Google has significantly increased the amount of information the models can process, running up to one million tokens consistently, and “achieving the longest context window of any large-scale foundation model yet.” (Pexels Photo)
ISTANBUL – Google introduced its new artificial intelligence (AI) model called Gemini 1.5, almost two months after its initial release.
 ",neutral,0.98,"quality, Anadolu, Google, AI, models, artificial intelligence, Gemini, Pichai, ChatGPT, Thursday, model, context, CEO, US, OpenAI, Sora, Microsoft, Sundar Pichai, company, developers",2024-02-18,404.06,0.0
2024-02-17,"Alphabet (NASDAQ: GOOG (NASDAQ: GOOGL has minted a lot of millionaires since its public debut (as Google) in 2004.
 If Alphabet fails to light a fire under its advertising and cloud businesses again, its valuation will likely contract, and it could be revalued as a slower-growth tech giant like Oracle
  That declining multiple -- along with the fact that a 50-bagger gain would boost Alphabet's market cap to a whopping $90 trillion -- will probably prevent this company from turning a $20,000 investment into $1 million over the next two decades. Metric
       Google advertising revenue growth
       Google ""other"" revenue growth
       Google Cloud revenue growth
       Total revenue growth
       EPS growth*
       Data source: Alphabet. Alphabet also expanded into nascent markets like driverless vehicles, digital healthcare, and the development of experimental drugs, but it still generates the lion's share of its revenue from Google's advertising ecosystem, which faces unpredictable macroeconomic, competitive, and regulatory headwinds.
   That growth was driven by the expansion of Google's search engine and advertising network, its acquisition of YouTube in 2006, and the broadening of its ecosystem across the web browser, webmail, mobile software, and cloud infrastructure-as-a-service markets.
  ",neutral,0.57,"web browser, META, search engine, TikTok, cloud, stake, revenue, iOS, Bard, IPO, advertising, Oracle, ChatGPT, AI, Could Alphabet, Suzanne Frey, AWS, inflation, Gemini, EPS, Meta, Redmond, Leo Sun, Apple, Stock Advisor, Microsoft Azure, Play Store, driverless vehicles, market cap, YouTube, advertising network, Google, Data, digital healthcare, Meta Platforms, growth, CEO, stock, ByteDance, years, macroeconomic, GOOG, ecosystem, Alphabet, net income, S&P 500, Bing, Getty Images, personal data, John Mackey, Microsoft, webmail, cloud platform, OpenAI, Facebook, Amazon, Image, Mark Zuckerberg, pandemic, NASDAQ, Google Cloud, CAGR",2024-02-18,404.06,0.0
