Publication Date,Summary,Sentiment Polarity,Sentiment Confidence,Keywords,stock_date,stock_price,percentage_change
2024-02-13,"InvestorPlace - Stock Market News, Stock Advice & Trading Tips  Beamr Imaging (NASDAQ: BMR ) stock gained more than 1,000% at one point yesterday and finally finished the day 371% higher.
 Why Companies Sell Stock After Shares Soar
  Firms sometimes sell stock after their shares soar because doing so allows them to unload their own equity at high prices. The post BMR Stock Alert: Beamr Announces $12 Million Offering After Giant Surge appeared first on InvestorPlace
  SHARE This rise came after the company announced a partnership with Nvidia (NASDAQ: NVDA
  On top of that, yesterday afternoon, the company also announced a $12 million offering of BMR stock. Beamr Imaging's Collaboration With Nvidia
  A video encoding, transcoding and optimization solutions company, Beamr Imaging will work with Nvidia to advance a video format called AOMedia Video 1 (AV1).",neutral,0.97,"Nvidia, securities, MGM, InvestorPlace, Beamr, NVDA, INTC, Larry Ramer, AI, equity, POST, U.S, Imaging, optimization, NASDAQ, Heard Of, smartphones, Tips, format, transcoding, Yahoo Finance, Beamr Announces, more, Beamr Imaging, Be Set, William White, Fly, P/S, Israel, Larry, Stock, The Fly, “Project Omega, SMCI, stock, company, Globes, video encoding",2024-02-14,1004,6.243386243386243
2024-02-13,"Barclays analyst George Wang CFA reiterated a Buy rating on Super Micro Computer ( SMCI – Research Report ) today and set a price target of $961.00.
 The word on The Street in general, suggests a Moderate Buy analyst consensus rating for Super Micro Computer with a $646.00 average price target, a -16.43% downside from current levels. Currently, Super Micro Computer has an average volume of 6.08M.
  Based on the recent corporate insider activity of 67 insiders, corporate insider sentiment is negative on the stock. Director Buys Stock Worth $1.14M
  Super Micro Computer Expands Campus with Land Acquisition
  Supermicro price target raised to $691 from $396 at Barclays
  SHARE Wang CFA covers the Technology sector, focusing on stocks such as Jabil, Super Micro Computer, and Flex.
  ",neutral,0.86,"See Insiders, coprocessor, AI, NASDAQ, CA, GPU, Wang CFA, Super, Technology Giant, target, MicroCloud, Moderate Buy, Super Micro, The firm, TipRanks, price, Stocks Higher, Micro, AMD, power supplies, Flex, San Jose, MP, CFA, Yih-Shyan Liaw, Charles Liang, Barclays
  SHARE, S&P 500, Northland, analyst, star, TSM, Buys Stock, Barclays, SuperRack, SMCI, Northland Securities, Buy, insiders, company, POST, Wang, Computer",2024-02-14,1004,6.243386243386243
2024-02-14,"February 12, 2024 — 03:21 pm EST  Written by Larry Ramer for InvestorPlace  InvestorPlace - Stock Market News, Stock Advice & Trading Tips
 As of last November, the Biden administration had disbursed $306 billion of the more than $850 billion in Infrastructure Investment and Jobs Act funds. The forward price-earnings ratio of CAT stock is a low
  Quanta Services (PWR)
   In addition to the U.S. government's high infrastructure spending, I believe that CAT is benefiting from the onshoring trend in America, with spending on the construction of factories growing rapidly to record levels in the last two years. CAT impressive fourth-quarter results, reported on Feb. 5, indicate that infrastructure stocks can benefit from Washington's infrastructure spending spree.
   For investors who want to benefit from this strong trend that will last many years, here are the three best infrastructure stocks to buy now.
  ",positive,0.99,"Roar, The Fly, PWR, Citi, earnings, Globes, Powell Industries, stocks, Green Energy, Quanta, Infrastructure, NYSE, Fly, renewable energy, InvestorPlace, Caterpillar, infrastructure, EBITDA, clean energy, many, EV Boom, Tips, EPS, Jobs Act, Shutterstock
  Caterpillar, Larry, Washington, Moreover, Shutterstock, SMCI, large-cap, U.S, Infrastructure Investment, Brett Cope, price-earnings ratio, natural gas, last, CEO, tank, Larry Ramer, AI, firm, “Project Omega, CAT, securities, Israel, Biden, onshoring, EST, Heard Of, Powell, Be Set, data centers, semiconductor, MGM, United States, INTC, Quanta Services, electrical grid, New Mexico, America, NASDAQ",2024-02-15,803.32,-23.164036346245812
2024-02-14,"Super Micro Computer Inc (NASDAQ: SMCI) is 178.44% higher on its value in year-to-date trading and has touched a low of $85.61 and a high of $810.00 in the current 52-week trading range.
 Super Micro Computer Inc disclosed in a document filed with the SEC on Feb 01 that CHAN SHIU LEUNG (Director) bought a total of 2,000 shares of the company's common stock. Top Institutional Holders
  829 institutions hold shares in Super Micro Computer Inc (SMCI), with institutional investors hold 79.69% of the company's shares. Insider Activity
  A total of 38 insider transactions have happened at Super Micro Computer Inc (SMCI) in the last six months, with sales accounting for 20 and purchases happening 18 times. The insider now directly holds 20,087 shares of Super Micro Computer Inc (SMCI).
  ",neutral,0.92,"months, P/E ratio, Saudi Arabia, Blackrock Inc, share, common stock, stock, market, unearthed, OPERATIONS, Run, DANIEL W, Intel Corp, KAO, accounting, HP Inc., SMCI, P/E, FAIRFAX, EPS, KAO GEORGE, company, Wall Street, Computer, Canada, Ultra-Fast Gains, company'sSVP, Uranium, shares, small-cap, HPQ, HP Inc, Intel, Float, institutional investors, The firm, NASDAQ, The insider, SMA200, SEC, Vanguard Group, volatility, SMA50, uranium, Blackrock Inc., Jun 29, SMCI Shares, Athabasca Basin, radar, Still, Fwd P",2024-02-15,803.32,-23.164036346245812
2024-02-15,"Get caught up quickly on the top news and calls moving stocks with these five Top Five lists.
 Children's Place (PLCE) gains after announcing a shareholder update [read more]
 JFrog (FROG) higher after reporting quarterly results and providing guidance for Q1 and FY24 [read more]
 Digital World Acquisition (DWAC) up after announcing with Trump Media & Technology Group that the U.S. SEC declared effective the registration statement for the companies' proposed business combination [read more]
 Fastly (FSLY) falls after reporting quarterly results and providing guidance for FY24 [read more]
 Herbalife (HLF) and Aurinia Pharmaceuticals (AUPH) decline after in New York announcing quarterly results [read more]
 5. EARNINGS/GUIDANCE: Wendy's (WEN) reported Q4 results and provided guidance for FY24, with CEO Kirk Tanner commenting, ""The Wendy's system delivered strong sales, profit, and cash flow growth in 2023"" [read more]
 Twilio (TWLO) announced Q4 results, with EPS and revenue beating consensus [read more]
 Yeti (YETI) reported Q4 results, provided guidance for FY24, and announced a $300M share repurchase program [read more]
 Applovin (APP) reported Q4 results and provided guidance for Q1 Deere (DE) reported upbeat Q1 results and provided FY24 net income guidance [read more]
 Cisco (CSCO) reported better-than-expected Q2 results and raised its quarterly dividend, but lowered its FY24 earnings and revenue guidance and announced a 5% workforce reduction [read more]
 Albemarle (ALB) reported better-than-expected Q4 earnings and revenue [read more]
 Shares of SoundHound (SOUN) and Nano-X (NNOX) surged after Nvidia (NVDA) disclosed stakes in both companies, as well as positions in Arm (ARM) and TruSimple (TSP) YETI APP SHAK PLCE FROG DWAC FSLY HLF
 AUPH DE CSCO : JPMorgan upgraded Coinbase (COIN) to Neutral on surging bitcoin prices [read more]
 Snowflake (SNOW) downgraded to Hold after rally at HSBC [read more]
 Citi downgraded IPG Photonics (IPGP) to Sell on extended earnings downturn [read more]
 ",neutral,0.45,"RNLSY, WSJ, HSBC, Buy, MSFT, Wells Fargo, FY24, SoundHound, TWLO YETI, dividend, Place, SEC, Apple, Germany, EPS, CSCO, revenue, results, Shake Shack, NNOX, Coinbase, Wall Street, Wendy, OCC, Renault, Q4, Yeti, more, YETI, Goldman (GS, Herbalife, Dow, AI, FCA, META, New York, Supermicro (SMCI, ALB, DE, Nano-X, Microsoft, JPMorgan, WALL STREET, service charge, insider trading, STLA, Aurinia Pharmaceuticals, Comcast (CMCSA, Bloomberg, APP, CEO, Ted Miller, SOUN, Neutral, guidance, SMCI, Nvidia, S&P 500, Deere, U.S. SEC, WEN, Microsoft (MSFT, reports, Snowflake, Nasdaq, Kirk Tanner, sales, PLCE, net income, FROG, Q1, consent order, Sell, TruSimple (TSP, Comcast, ARM, Cisco, bitcoin, Arm (ARM, This Morning, Nvidia (NVDA, Apple (AAPL, SHAK",2024-02-16,803.32,0.0
2024-02-15,"Shares of Super Micro Computer, Inc. SMCI soared 11.3% on AI positivity and almost led the gains made by the Russell 200 in the session.
 Free Stock Analysis Report
 Super Micro Computer, Inc. (SMCI) : Free Stock Analysis Report
 Coinbase Global, Inc. (COIN) : Free Stock Analysis Report
 Kraft Heinz Company (KHC) : Free Stock Analysis Report
 To read this article on Zacks.com click here.
 ",neutral,0.81,"Coinbase, Report, COIN, Stock, Stocks, PEP, Research, Computer, Inc, Analysis, KHC, PepsiCo, Inc., Russell 200, AI, Company News, Free, Inc., PepsiCo, Zacks, Zacks.com, Investment, Next",2024-02-16,803.32,0.0
2024-02-16,"Shares in Super Micro Computer Inc were down almost 12 per cent on Friday after hitting a record high earlier in the session and closing Thursday's session up more than 250 per cent for the year-to-date as investors have been betting on the stock as a big beneficiary of strong artificial intelligence technology demand.

 After hitting a new record high of $1,077.87 early in Friday's session, SMCI last traded at $886.15, but still far above its trading price of $284.26 at the end of 2023.

 On Thursday SMCI jumped 14 per cent after BofA Global Research had started coverage with a buy rating and a $1,040 price target, which is the highest among the 13 Wall Street analysts covering the company, per LSEG data.

 BofA said SMCI had established itself as an early launch partner for the likes of Nvidia, which is seen as the leading AI chip maker, Advanced Micro Devices

Meanwhile, the stock's strong rally over the past month has triggered extremely bearish warning signals from a technicals perspective.

 Wells Fargo analyst Aaron Rakers started covering the stock on Friday with an equal weight rating, saying the shares were already discounting ""solid upside"".

",neutral,0.71,"Global Research, Rakers, Lance Tupper, Friday, Nvidia, Micro, Wells Fargo, Sinéad Carew, strong, artificial intelligence, SMCI, technicals, Wall Street, AI, price, David Evans, Aaron Rakers, shares, cent, stock, bearish, Here",2024-02-17,803.32,0.0
2024-02-16,"By Sinéad Carew

(Reuters) - Shares in Super Micro Computer Inc were down almost 12% on Friday after hitting a record high earlier in the session and closing Thursday's session up more than 250% for the year-to-date as investors have been betting on the stock as a big beneficiary of strong artificial intelligence technology demand.

 After hitting a new record high of $1,077.87 early in Friday's session, SMCI last traded at $886.15, but still far above its trading price of $284.26 at the end of 2023.

 On Thursday SMCI jumped 14% after BofA Global Research had started coverage with a buy rating and a $1,040 price target, which is the highest among the 13 Wall Street analysts covering the company, per LSEG data.

 BofA said SMCI had established itself as an early launch partner for the likes of Nvidia, which is seen as the leading AI chip maker, Advanced Micro Devices

Meanwhile, the stock's strong rally over the past month has triggered extremely bearish warning signals from a technicals perspective.

 Wells Fargo analyst Aaron Rakers started covering the stock on Friday with an equal weight rating, saying the shares were already discounting ""solid upside"".

",neutral,0.73,"Global Research, Rakers, Lance Tupper, Friday, Nvidia, Micro, Wells Fargo, record, Sinéad Carew, strong, artificial intelligence, SMCI, technicals, Wall Street, AI, price, David Evans, Aaron Rakers, shares, Reuters, stock, bearish, Here",2024-02-17,803.32,0.0
2024-02-17,"If you think artificial intelligence (AI) stocks are starting to look frothy, you're not the only one.

 If you think the rapid surge in AI stock prices is a warning sign for investors, you might want to consider the advice of George Soros, the billionaire investor and chairman of Soros Fund Management who is one of the most successful investors ever. AI stock investors should be wary of a bubble forming and should keep an eye on these stocks and others, making sure that the results from the businesses justify the gains, but it also seems that at this stage, momentum in the AI hardware sector is still building. Should you invest $1,000 in Nvidia right now?

Before you buy stock in Nvidia, consider this:

The Motley Fool Stock Advisor analyst team just identified what they believe are the 10 best stocks for investors to buy now… and Nvidia wasn’t one of them. There's certainly some evidence that a bubble -- an irrational surge in the price of an asset that eventually leads to a crash -- is forming in AI stocks, as some of the gains in some of these stocks have been divorced from any meaningful change in fundamentals.

",neutral,0.36,"NASDAQ, shorting, Quantum, Arm Holdings, reflexive, fund, asset, Motley Fool, Getty Images, bubble, hedging, earnings growth, Invesco, Stock Advisor, Back, flagship, Supermicro, Artificial Intelligence, AI, volatility, billionaire, stock market, chips, hedge fund, Nasdaq-100, Wall Street, Soros, Image, Microsoft, CPU, psychology, Stanley Druckenmiller, investors, QQQ, British pound, price-to-earnings, ARM, Nvidia, Story, stock, S&P 500, stocks, George Soros, Worried, artificial intelligence, earnings, Soros Fund, gains",2024-02-18,803.32,0.0
2024-02-17,"If you think artificial intelligence (AI) stocks are starting to look frothy, you're not the only one.

 If you think the rapid surge in AI stock prices is a warning sign for investors, you might want to consider the advice of George Soros, the billionaire investor and chairman of Soros Fund Management who is one of the most successful investors ever. AI stock investors should be wary of a bubble forming and should keep an eye on these stocks and others, making sure that the results from the businesses justify the gains, but it also seems that at this stage, momentum in the AI hardware sector is still building. There's certainly some evidence that a bubble -- an irrational surge in the price of an asset that eventually leads to a crash -- is forming in AI stocks, as some of the gains in some of these stocks have been divorced from any meaningful change in fundamentals.

 There's plenty of commentary online about a bubble forming in AI stocks, and it's not surprising investors would think that.",neutral,0.38,"shorting, Quantum, Arm Holdings, reflexive, asset, bubble, hedging, earnings growth, Invesco, Back, flagship, shares, Supermicro, Artificial Intelligence, stock market, billionaire, AI, volatility, hedge fund, chips, Nasdaq-100, Wall Street, Soros, Microsoft, CPU, psychology, Stanley Druckenmiller, investors, QQQ, British pound, price-to-earnings, ARM, Nvidia, stock, stocks, George Soros, artificial intelligence, earnings, Soros Fund, Nvidia (NVDA, gains",2024-02-18,803.32,0.0
2024-02-18,"Data center systems provider Super Micro Computer (NASDAQ: SMCI) has been a darling of Wall Street lately. The stock has tripled in just the last month, but one Wall Street analyst thinks Supermicro, as it is known, still has more room to run. Bank of America Securities analyst Ruplu Bhattacharya began coverage on the supplier of accelerated computing server systems with a buy rating and a $1,040 price target. That would represent a jump of 18% over Wednesday's closing price, even after Supermicro's torrid run.",neutral,0.52,"Supermicro, systems, Street, Computer, Data center, analyst, Weiter, Wall Street, Ruplu Bhattacharya, price, Super, Wall, Artikel, NASDAQ, Micro",2024-02-19,787.57,-0.3075949367088544
2024-02-18,"Data center systems provider Super Micro Computer (NASDAQ: SMCI) has been a darling of Wall Street lately.
 The stock has tripled in just the last month, but one Wall Street analyst thinks Supermicro, as it is known, still has more room to run. Bank of America Securities analyst Ruplu Bhattacharya began coverage on the supplier of accelerated computing server systems with a buy rating and a $1,040 price target. That would represent a jump of 18% over Wednesday's closing price, even after Supermicro's torrid run.",neutral,0.52,"systems, Supermicro, Street, Computer, Data center, analyst, Weiter, Wall Street, Ruplu Bhattacharya, price, Super, Wall, Artikel, NASDAQ, Micro, MotleyFool",2024-02-19,787.57,-0.3075949367088544
2024-02-19,"When you have a winning trade, there is only one thing to do: sell and take the profits. “Bob! You left money on the table by not staying with Meta!”
  While technically this is correct, my approach is part of an overall risk management strategy that ensures I don't wait to take profits.
   Here's what to do when you have a winning trade
  When you own a stock like SMCI that continues to move higher at a blistering pace, it's really hard to know when to sell.
   Now, if you want to hold some of the stock for the long term, at the very least you should take most/all of your original investment off the table and let the rest of it ride.
   Strong groups, like semiconductor stocks, have served as the pace car for the markets, leading all other groups and helping to pull up the laggards.",neutral,0.91,"SMCI, Bob Lang, AI, semiconductor, trade, stocks, money, ego, Bob, NVIDIA, pace car, bull market, Us, PulteGroup, GameStop, months, Roger Federer, Teach, profits, risk management, Strong, Chart Analysis, META, Meta, Sort, nickel, profit, stock, FOMO",2024-02-20,734.17,-2.0780260086695623
